"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","2354,81","1645,26","3737,85","3737,85|1681,33|1645,26","181351","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"2","firma-kullanici-gruplari","admin/firma-kullanici-gruplari","filament.admin.resources.firma-kullanici-gruplari.index","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\ListFirmaKullaniciGruplari","200","2322,01","1668,78","3618,08","3618,08|1679,18|1668,78","163303","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari",
"3","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","2225,38","1730,81","3171,66","3171,66|1730,81|1773,67","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"4","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2169,51","1700,21","2799,1","2799,1|2009,22|1700,21","255201","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"5","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2166,51","1799,27","2763,44","2763,44|1936,84|1799,27","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"6","personel-takip","admin/personel-takip/izinler/create","filament.admin.personel-takip.resources.izinler.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\CreatePersonelIzin","200","2077,71","1670,1","2725,6","2725,6|1837,44|1670,1","164453","http://localhost/yalova-kamera/admin/personel-takip/izinler/create",
"7","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\ListDovizKurlari","200","2073,29","1853,86","2272,78","2272,78|2093,24|1853,86","238530","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari",
"8","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2052,99","1687,12","2778,7","2778,7|1693,16|1687,12","229292","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"9","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2052,52","1717,4","2702,38","2702,38|1737,77|1717,4","118427","http://localhost/yalova-kamera/admin/restoran",
"10","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2021,86","1767,71","2243,96","2243,96|2053,92|1767,71","241802","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"11","sistem-roller","admin/sistem-roller","filament.admin.resources.sistem-roller.index","App\Filament\Resources\RoleResource\Pages\ListRoles","200","2010,8","1911,55","2092,67","2092,67|2028,19|1911,55","298913","http://localhost/yalova-kamera/admin/sistem-roller",
"12","muhasebe","admin/muhasebe/sistem-olaylari","filament.admin.muhasebe.pages.sistem-olaylari","App\Filament\Clusters\Muhasebe\Pages\SistemOlaylariSayfasi","200","1981,42","1804,11","2128,17","2011,98|2128,17|1804,11","310221","http://localhost/yalova-kamera/admin/muhasebe/sistem-olaylari",
"13","products","admin/products/create","filament.admin.resources.products.create","App\Filament\Resources\ProductResource\Pages\CreateProduct","200","1939,03","1821,35","2159,18","2159,18|1821,35|1836,58","340932","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"14","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","1930,61","1692,16","2404,93","2404,93|1694,73|1692,16","167541","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"15","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","1927,28","1635,55","2187,32","2187,32|1958,95|1635,55","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"16","web","admin/web/urunler/urun-listesi/create","filament.admin.web.resources.urunler.urun-listesi.create","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\CreateUrun","200","1919,98","1840,43","2063,09","1856,43|1840,43|2063,09","340932","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"17","muhasebe","admin/muhasebe/finans/poslar/create","filament.admin.muhasebe.resources.finans.poslar.create","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\CreatePosHesabi","200","1905,6","1803,52","2063,65","2063,65|1849,62|1803,52","222740","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/create",
