"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","5196,97","5196,97","5196,97","5196.97","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3444,27","3444,27","3444,27","3444.27","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"3","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","3073,69","3073,69","3073,69","3073.69","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"4","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","3062,73","3062,73","3062,73","3062.73","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"5","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","2881,14","2881,14","2881,14","2881.14","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"6","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","2816,65","2816,65","2816,65","2816.65","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"7","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","2655","2655","2655","2655","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"8","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2623,75","2623,75","2623,75","2623.75","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"9","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","2613,5","2613,5","2613,5","2613.5","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"10","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2433,54","2433,54","2433,54","2433.54","176758","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
