"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","3388,99","1687,55","6728,18","6728,18|1751,23|1687,55","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2177,82","1791,31","2766,83","2766,83|1975,31|1791,31","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"3","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","2155,65","1664,35","3116,46","3116,46|1664,35|1686,13","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"4","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2048,92","1749,46","2329,06","2329,06|2068,24|1749,46","241802","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"5","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2047,88","1654,65","2830,09","2830,09|1654,65|1658,9","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"6","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","2026,15","1662,65","2738,42","2738,42|1677,37|1662,65","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"7","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2020,16","1670,35","2420,2","2420,2|1969,94|1670,35","176758","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"8","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","1990,15","1684,66","2596,49","2596,49|1689,3|1684,66","163662","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"9","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/bakim","filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi","200","1923,13","1790,92","2103,3","2103,3|1875,17|1790,92","264188","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/bakim",
"10","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/create","filament.admin.resources.firma-ici-kullanicilar.create","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciOlustur","200","1909,16","1674,49","2371,3","2371,3|1674,49|1681,69","166722","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/create",
"11","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","1893,7","1575,54","2248,2","2248,2|1857,37|1575,54","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"12","e-ticaret","admin/e-ticaret/bildirim-yonetimi/sablonlar","filament.admin.e-ticaret.pages.bildirim-yonetimi.sablonlar","App\Filament\Clusters\ETicaret\Pages\BildirimSablonlariSayfasi","200","1890,14","1639,63","2374,32","2374,32|1656,45|1639,63","137361","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/sablonlar",
"13","muhasebe","admin/muhasebe/finans/odeme-olustur","filament.admin.muhasebe.pages.finans.odeme-olustur","App\Filament\Clusters\Muhasebe\Pages\OdemeOlusturSayfasi","200","1879,17","1705,47","2079,43","2079,43|1705,47|1852,61","164565","http://localhost/yalova-kamera/admin/muhasebe/finans/odeme-olustur",
"14","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","1877,64","1680,09","2272,37","2272,37|1680,47|1680,09","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"15","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","1874,54","1566,92","2432,58","2432,58|1624,11|1566,92","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"16","web","admin/web/urunler/urun-listesi","filament.admin.web.resources.urunler.urun-listesi.index","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ListUrunler","200","1869,95","1780,73","2023,69","1780,73|2023,69|1805,43","187277","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi",
"17","muhasebe","admin/muhasebe/cari-yonetimi/cari-ekstreleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-ekstreleri","App\Filament\Clusters\Muhasebe\Pages\CariEkstreSayfasi","200","1869,88","1648,99","2279,25","2279,25|1681,39|1648,99","132482","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-ekstreleri",
"18","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","1869,22","1786,57","1911,2","1911,2|1786,57|1909,89","259636","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"19","muhasebe","admin/muhasebe/tanimlar/varyantlar","filament.admin.muhasebe.resources.tanimlar.varyantlar.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeVaryantTanimKaynagi\Pages\ListMuhasebeVaryantlari","200","1869,03","1660,11","2045,76","1901,21|2045,76|1660,11","160766","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/varyantlar",
"20","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","1868,7","1710,09","2174,6","1710,09|1721,4|2174,6","159540","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"21","muhasebe","admin/muhasebe/sistem-olaylari","filament.admin.muhasebe.pages.sistem-olaylari","App\Filament\Clusters\Muhasebe\Pages\SistemOlaylariSayfasi","200","1862,1","1696,61","2053,26","1836,42|2053,26|1696,61","170330","http://localhost/yalova-kamera/admin/muhasebe/sistem-olaylari",
"22","muhasebe","admin/muhasebe/satis/barkodlu-satis-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisGecmisiSayfasi","200","1859,18","1768,08","2035,83","1773,62|2035,83|1768,08","206440","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-gecmisi",
"23","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/tamamlanan-dis-servis","filament.admin.teknik-servis.resources.servis-kayitlari.tamamlanan_dis_servis","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariTamamlananDisServisSayfasi","200","1854,32","1688,17","2033,63","1688,17|2033,63|1841,16","146008","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/tamamlanan-dis-servis",
"24","muhasebe","admin/muhasebe/finans/finans-panel","filament.admin.muhasebe.pages.finans.finans-panel","App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi","200","1846,13","1622,81","2029,56","2029,56|1886,02|1622,81","121492","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-panel",
