"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","3810,37","3810,37","3810,37","3810.37","181335","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"2","firma-kullanici-gruplari","admin/firma-kullanici-gruplari","filament.admin.resources.firma-kullanici-gruplari.index","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\ListFirmaKullaniciGruplari","200","3431,79","3431,79","3431,79","3431.79","163303","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari",
"3","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3205,77","3205,77","3205,77","3205.77","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"4","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2839,8","2839,8","2839,8","2839.8","229292","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"5","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2691,51","2691,51","2691,51","2691.51","118427","http://localhost/yalova-kamera/admin/restoran",
"6","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2637,43","2637,43","2637,43","2637.43","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"7","personel-takip","admin/personel-takip/izinler/create","filament.admin.personel-takip.resources.izinler.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\CreatePersonelIzin","200","2584,72","2584,72","2584,72","2584.72","164437","http://localhost/yalova-kamera/admin/personel-takip/izinler/create",
"8","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2561,54","2561,54","2561,54","2561.54","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"9","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","2558,45","2558,45","2558,45","2558.45","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"10","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2549,65","2549,65","2549,65","2549.65","255201","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"11","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","2337,47","2337,47","2337,47","2337.47","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"12","muhasebe","admin/muhasebe/cari-yonetimi/cari-ekstreleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-ekstreleri","App\Filament\Clusters\Muhasebe\Pages\CariEkstreSayfasi","200","2335,24","2335,24","2335,24","2335.24","148553","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-ekstreleri",
