"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","587,71","577,05","598,37","598,37|577,05","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","560,04","533,38","586,71","586,71|533,38","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"3","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","549,02","536,17","561,86","536,17|561,86","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"4","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","543,44","542,44","544,44","544,44|542,44","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"5","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","536,33","534,85","537,8","534,85|537,8","160723","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
"6","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","532,49","520,44","544,53","544,53|520,44","178344","http://localhost/yalova-kamera/admin/sistem-firmalar",
"7","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","531,18","496,82","565,54","565,54|496,82","184887","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"8","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","528,44","527,33","529,55","529,55|527,33","186779","http://localhost/yalova-kamera/admin/siparisler",
"9","restoran","admin/restoran/tanimlar/salonlar","filament.admin.restoran.resources.tanimlar.salonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranSalonKaynagi\Pages\ListRestoranSalonlari","200","522,08","503,76","540,39","540,39|503,76","165857","http://localhost/yalova-kamera/admin/restoran/tanimlar/salonlar",
"10","web","admin/web/web-moduller/ucuncu-grup/referanslar","filament.admin.web.pages.web-moduller.ucuncu-grup.referanslar","App\Filament\Clusters\Web\Pages\ModulReferanslar","200","521,64","501,79","541,49","501,79|541,49","228360","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/referanslar",
"11","restoran","admin/restoran/adisyonlar","filament.admin.restoran.resources.adisyonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\ListRestoranAdisyonlari","200","515,41","499,11","531,71","531,71|499,11","162048","http://localhost/yalova-kamera/admin/restoran/adisyonlar",
"12","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","511,64","476,76","546,52","476,76|546,52","241512","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"13","personel-takip","admin/personel-takip/vardiyalar","filament.admin.personel-takip.resources.vardiyalar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaKaynagi\Pages\ListPersonelVardiyalari","200","510,66","494,1","527,22","527,22|494,1","162355","http://localhost/yalova-kamera/admin/personel-takip/vardiyalar",
"14","restoran","admin/restoran/adisyonlar/create","filament.admin.restoran.resources.adisyonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\CreateRestoranAdisyon","200","509,87","483,76","535,98","535,98|483,76","196901","http://localhost/yalova-kamera/admin/restoran/adisyonlar/create",
"15","restoran","admin/restoran/qr-menu/kategoriler","filament.admin.restoran.resources.qr-menu.kategoriler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuKategoriKaynagi\Pages\ListRestoranMenuKategorileri","200","509,63","500,4","518,86","518,86|500,4","162325","http://localhost/yalova-kamera/admin/restoran/qr-menu/kategoriler",
"16","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","508,85","493,07","524,63","493,07|524,63","167841","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
