rank,module,uri,name,action,status,avg_ms,min_ms,max_ms,runs_ms,bytes,app_ms,queries,query_ms,gzip_ms,gzip_raw_bytes,gzip_bytes,slowest_queries,final_url,error
81,web,admin/web/web-moduller/ucuncu-grup/neden-biz,filament.admin.web.pages.web-moduller.ucuncu-grup.neden-biz,"App\Filament\Clusters\Web\Pages\ModulNedenBiz",200,1868.61,1868.61,1868.61,1868.61,211264,914.96,3,4.7,4.1,211264,25643,"2.63ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.2ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.87ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/web/web-moduller/ucuncu-grup/neden-biz,
82,muhasebe,admin/muhasebe/finans/poslar,filament.admin.muhasebe.resources.finans.poslar.index,"App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ListPosHesaplari",200,1868.48,1868.48,1868.48,1868.48,274314,892.81,6,19.54,5.03,274314,31699,"14.57ms select count(*) as aggregate from `pos_hesaplari` where `pos_hesaplari`.`deleted_at` is null || 1.35ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.14ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.07ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.87ms select `id`, `firma_id`, `ad`, `kod`, `pos_tipi`, `saglayici_tipi`, `banka_adi`, `saglayici_adi`, `pos_saglayici`, `para_birimi`, `komisyon_orani`, `valor_gun_sayisi`, `durum`, `varsayilan_mi`, `created_at` from `pos_hesaplari` where `pos_hesaplari`.`deleted_at` is null order by `created_at` desc limit 10 offset 0",http://127.0.0.1:8000/admin/muhasebe/finans/poslar,
83,personel-takip,admin/personel-takip/tanimlar/gorevler,filament.admin.personel-takip.resources.tanimlar.gorevler.index,"App\Filament\Clusters\PersonelTakip\Resources\PersonelGorevKaynagi\Pages\ListPersonelGorevleri",200,1860.02,1860.02,1860.02,1860.02,186290,816.85,5,3.77,2.76,186290,26410,"1.23ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.68ms select count(*) as aggregate from `personel_gorevleri` where `personel_gorevleri`.`deleted_at` is null || 0.67ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.6ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.59ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/personel-takip/tanimlar/gorevler,
84,masraf-takip,admin/masraf-takip/raporlar,filament.admin.masraf-takip.pages.raporlar,"App\Filament\Clusters\MasrafTakip\Pages\MasrafRaporlariSayfasi",200,1857.96,1857.96,1857.96,1857.96,203491,823.24,6,5.65,3.36,203491,27290,"1.82ms select `ad`, `id` from `masraf_kategorileri` where `firma_id` = ? and `aktif_mi` = ? and `ust_kategori_id` is null order by `sira` asc, `ad` asc || 1.22ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.94ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.58ms select `id`, `kod`, `ad` from `isletme_projeleri` where `firma_id` = ? and `durum` = ? and `isletme_projeleri`.`deleted_at` is null order by `ad` asc limit 50 || 0.56ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/masraf-takip/raporlar,
85,personel-takip,admin/personel-takip/terminal/pin-giris-cikis,filament.admin.personel-takip.pages.terminal.pin-giris-cikis,"App\Filament\Clusters\PersonelTakip\Pages\PersonelPinTerminalSayfasi",200,1857.58,1857.58,1857.58,1857.58,149741,847.13,4,4.3,2.62,149741,23420,"1.43ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.31ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 1ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/personel-takip/terminal/pin-giris-cikis,
86,restoran,admin/restoran/qr-menu/urunler,filament.admin.restoran.resources.qr-menu.urunler.index,"App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri",200,1855.09,1855.09,1855.09,1855.09,201061,973.28,7,23.37,3.07,201061,26941,"13.55ms select `ad`, `id` from `restoran_menu_kategorileri` where `firma_id` = ? and `restoran_menu_kategorileri`.`deleted_at` is null order by `ad` asc || 4.68ms select count(*) as aggregate from `restoran_menu_urunleri` where `restoran_menu_urunleri`.`deleted_at` is null || 1.85ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.07ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.94ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/restoran/qr-menu/urunler,
87,sistem-roller,admin/sistem-roller,filament.admin.resources.sistem-roller.index,"App\Filament\Resources\RoleResource\Pages\ListRoles",200,1850.23,1850.23,1850.23,1850.23,309123,893.6,7,3.99,3.47,309123,30409,"1.23ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.59ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.53ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.51ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.41ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/sistem-roller,
88,muhasebe,admin/muhasebe/finans/banka-hesaplari/create,filament.admin.muhasebe.resources.finans.banka-hesaplari.create,"App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\CreateBankaHesabi",200,1848.99,1848.99,1848.99,1848.99,186726,843.49,6,6.34,3.17,186726,26012,"1.49ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.45ms select * from `muhasebe_para_birimleri` where (`muhasebe_para_birimleri`.`firma_id` = ? or (`muhasebe_para_birimleri`.`firma_id` is null and `muhasebe_para_birimleri`.`is_sabit` = ?)) and `aktif_mi` = ? order by `kod` asc || 0.99ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.96ms select `ad`, `id` from `firmalar` where `firmalar`.`deleted_at` is null order by `ad` asc || 0.77ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/muhasebe/finans/banka-hesaplari/create,
89,teknik-servis,admin/teknik-servis/sablonlar/kabul-formu,filament.admin.teknik-servis.pages.sablonlar.kabul-formu,"App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi",200,1847.36,1847.36,1847.36,1847.36,147033,771.62,5,9.57,2.43,147033,22187,"3.57ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 3.16ms select `id`, `firma_id`, `sablon_turu`, `ad`, `kod`, `sayfa_tipi`, `sablon_logo`, `varsayilan_mi`, `aktif` from `teknik_servis_baski_sablonlari` where `firma_id` = ? and `sablon_turu` = ? order by `varsayilan_mi` desc, `sayfa_tipi` asc, `ad` asc || 1ms select exists(select * from `teknik_servis_baski_sablonlari` where `firma_id` = ? and `sablon_turu` = ?) as `exists` || 0.99ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.85ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/teknik-servis/sablonlar/kabul-formu,
90,proje-yonetimi,admin/proje-yonetimi/raporlar,filament.admin.proje-yonetimi.pages.raporlar,"App\Filament\Clusters\ProjeYonetimi\Pages\ProjeRaporlariSayfasi",200,1837.59,1837.59,1837.59,1837.59,209069,860.26,11,17.53,4.05,209069,28429,"5.27ms select count(*) as aggregate from `masraf_fatura_dagitilari` as `d` inner join `masraflar` as `m` on `m`.`id` = `d`.`masraf_id` inner join `faturalar` as `f` on `f`.`id` = `d`.`fatura_id` where `d`.`firma_id` = ? and `m`.`firma_id` = ? and `f`.`firma_id` = ? and (m.isletme_proje_id <> f.isletme_proje_id OR (m.isletme_proje_id IS NULL AND f.isletme_proje_id IS NOT NULL) OR (m.isletme_proje_id IS NOT NULL AND f.isletme || 3.79ms select count(*) as aggregate from ((select 'Masraf' as hareket_turu, m.id as kaynak_id, m.tarih, CONCAT('Masraf #', m.id) as belge, m.aciklama, 'Çıkış' as yon, NULL as miktar, m.tutar, m.para_birimi, m.isletme_proje_id as proje_id from `masraflar` as `m` where `m`.`firma_id` = ? and `m`.`durum` = ? and `m`.`isletme_proje_id` is not null and not exists (select 1 from `masraf_fatura_dagitilari` as `mfd` where `mfd`.`ma || 2.17ms select `c`.`ad` as `cari`, `p`.`ad` as `proje`, `ch`.`para_birimi`, SUM(ch.borc) as borc, SUM(ch.alacak) as alacak from `cari_hareketleri` as `ch` inner join `cariler` as `c` on `c`.`id` = `ch`.`cari_id` inner join `isletme_projeleri` as `p` on `p`.`id` = `ch`.`isletme_proje_id` where `ch`.`firma_id` = ? and `c`.`firma_id` = ? and `p`.`firma_id` = ? and `ch`.`isletme_proje_id` in (select `id` from `isletme_projeleri` || 1.35ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.94ms select `isletme_projeleri`.`kod`, `isletme_projeleri`.`ad` as `proje`, `isletme_projeleri`.`durum`, `isletme_projeleri`.`para_birimi`, `isletme_projeleri`.`butce_tutari`, COALESCE(donem_masraf.masraf, 0) as masraf, COALESCE(donem_finans.gelir, 0) as gelir, COALESCE(donem_finans.odeme, 0) as odeme from `isletme_projeleri` left join (select `isletme_proje_id`, `para_birimi`, SUM(tutar) as masraf from `masraflar` where ",http://127.0.0.1:8000/admin/proje-yonetimi/raporlar,
91,muhasebe,admin/muhasebe/finans/banka-hesaplari,filament.admin.muhasebe.resources.finans.banka-hesaplari.index,"App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ListBankaHesaplari",200,1836.89,1836.89,1836.89,1836.89,328321,926.72,8,30.81,4.22,328321,32331,"16.16ms select count(*) as aggregate from `banka_hesaplari` where `banka_hesaplari`.`deleted_at` is null || 8.91ms select `id`, `firma_id`, `ad`, `kod`, `banka_adi`, `hesap_sahibi_unvan`, `para_birimi`, `durum`, `created_at`, (select sum(`banka_hareketleri`.`tutar`) from `banka_hareketleri` where `banka_hesaplari`.`id` = `banka_hareketleri`.`banka_hesap_id` and `durum` = ?) as `aktif_bakiye` from `banka_hesaplari` where `banka_hesaplari`.`deleted_at` is null order by `created_at` desc limit 10 offset 0 || 1.51ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.26ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.87ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/finans/banka-hesaplari,
92,teknik-servis,admin/teknik-servis/raporlar/durum-bazli,filament.admin.teknik-servis.pages.raporlar.durum-bazli,"App\Filament\Clusters\TeknikServis\Pages\TeknikServisDurumBazliRaporuSayfasi",200,1836.53,1836.53,1836.53,1836.53,139695,1033.58,4,4.26,3.3,139695,21576,"1.74ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.18ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.72ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.62ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/teknik-servis/raporlar/durum-bazli,
93,personel-takip,admin/personel-takip/maas-donemleri/create,filament.admin.personel-takip.resources.maas-donemleri.create,"App\Filament\Clusters\PersonelTakip\Resources\PersonelMaasDonemiKaynagi\Pages\CreatePersonelMaasDonemi",200,1833.83,1833.83,1833.83,1833.83,150120,727.81,3,3.4,2.35,150120,22979,"2.28ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.58ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.54ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/personel-takip/maas-donemleri/create,
94,personel-takip,admin/personel-takip/personeller/create,filament.admin.personel-takip.resources.personeller.create,"App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\CreatePersonel",200,1833.4,1833.4,1833.4,1833.4,235815,877.56,7,31.32,3.35,235815,28136,"15.41ms select `ad`, `id` from `personel_departmanlari` where `personel_departmanlari`.`deleted_at` is null order by `ad` asc || 8.24ms select `ad`, `id` from `personel_gorevleri` where `personel_gorevleri`.`deleted_at` is null order by `ad` asc || 2.48ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.69ms select `id`, `name`, `ad_soyad`, `email` from `users` where `users`.`id` in (9, 11, 12, 13) and `users`.`deleted_at` is null || 1.28ms select * from `firma_kullanicilari` where `firma_id` = ? and `durum` = ? and `firma_kullanicilari`.`deleted_at` is null",http://127.0.0.1:8000/admin/personel-takip/personeller/create,
95,muhasebe,admin/muhasebe/finans/finans-panel,filament.admin.muhasebe.pages.finans.finans-panel,"App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi",200,1831.9,1831.9,1831.9,1831.9,171347,896.23,13,100.7,2.58,171347,24397,"26.33ms select `finans_hareketleri`.*, exists(select * from `teknik_servis_tahsilatlari` where `finans_hareketleri`.`id` = `teknik_servis_tahsilatlari`.`finans_hareketi_id` and `teknik_servis_tahsilatlari`.`deleted_at` is null) as `teknik_servis_tahsilat_kaynagi`, exists(select * from `teknik_servis_tahsilatlari` where `finans_hareketleri`.`id` = `teknik_servis_tahsilatlari`.`iptal_finans_hareketi_id` and `teknik_servis_tahs || 16.72ms select para_birimi, SUM(tutar) as toplam from `pos_hareketleri` where `firma_id` = ? and `durum` = ? group by `para_birimi` || 16.46ms select tur, para_birimi, SUM(tutar) as toplam from `finans_hareketleri` where `firma_id` = ? and `durum` = ? and `tur` in (?, ?) and `tarih` between ? and ? group by `tur`, `para_birimi` || 14.54ms select para_birimi, SUM(acik_tutar) as toplam from `faturalar` where `firma_id` = ? and `durum` = ? and `tur` in (?, ?, ?) and CAST(acik_tutar AS DECIMAL(18,4)) > 0 and `faturalar`.`deleted_at` is null group by `para_birimi` || 14.03ms select para_birimi, SUM(tutar) as toplam from `kasa_hareketleri` where `firma_id` = ? and `durum` = ? group by `para_birimi`",http://127.0.0.1:8000/admin/muhasebe/finans/finans-panel,
96,muhasebe,admin/muhasebe/fatura-kaynagis/create,filament.admin.muhasebe.resources.fatura-kaynagis.create,"App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateFatura",200,1831.58,1831.58,1831.58,1831.58,262764,888.46,9,11.56,3.47,262764,30693,"3.26ms select `id`, `kod`, `ad` from `stok_kartlari` where `firma_id` = ? and `stok_kartlari`.`deleted_at` is null order by `ad` asc limit 30 || 1.82ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.38ms select `kod`, `ad`, `oran` from `muhasebe_vergi_oranlari` where (`muhasebe_vergi_oranlari`.`firma_id` = ? or (`muhasebe_vergi_oranlari`.`firma_id` is null and `muhasebe_vergi_oranlari`.`is_sabit` = ?)) and `aktif_mi` = ? and `muhasebe_vergi_oranlari`.`deleted_at` is null order by `oran` asc || 1.11ms select * from `fatura_kalemleri` where `fatura_kalemleri`.`fatura_id` is null and `fatura_kalemleri`.`fatura_id` is not null || 1.03ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/muhasebe/fatura-kaynagis/create,
97,e-ticaret,admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari,filament.admin.e-ticaret.pages.mesaj-yonetimi.musteri-mesajlari,"App\Filament\Clusters\ETicaret\Pages\MusteriMesajlariSayfasi",200,1827.72,1827.72,1827.72,1827.72,153581,788.47,6,7.9,2.4,153581,23038,"3.08ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.46ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 1.21ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.79ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.69ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari,
98,restoran,admin/restoran,filament.admin.restoran,"App\Filament\Clusters\Restoran",200,1826.92,1826.92,1826.92,1826.92,116500,728.12,4,4.94,1.8,116500,19076,"1.99ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.14ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.94ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.87ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/restoran,
99,personel-takip,admin/personel-takip/tanimlar/departmanlar,filament.admin.personel-takip.resources.tanimlar.departmanlar.index,"App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\ListPersonelDepartmanlari",200,1826.21,1826.21,1826.21,1826.21,189944,815.51,7,6.09,2.84,189944,26535,"1.72ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.01ms select `ad`, `id` from `subeler` where `firma_id` = ? and `subeler`.`deleted_at` is null order by `ad` asc || 0.92ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.79ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.61ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/personel-takip/tanimlar/departmanlar,
100,web,admin/web/web-ayarlar/web-api-ayarlar,filament.admin.web.pages.web-ayarlar.web-api-ayarlar,"App\Filament\Clusters\Web\Pages\WebApiAyarlar",200,1814.44,1814.44,1814.44,1814.44,160977,768.97,3,2.85,3.02,160977,23643,"1.39ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.82ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.64ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/web/web-ayarlar/web-api-ayarlar,
101,muhasebe,admin/muhasebe/fatura-kaynagis/create/giden-fatura,filament.admin.muhasebe.resources.fatura-kaynagis.createGiden,"App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenFatura",200,1814.13,1814.13,1814.13,1814.13,262979,803.08,6,4.72,3.42,262979,30748,"1.32ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.83ms select `id`, `kod`, `ad` from `isletme_projeleri` where `durum` in (?, ?) and `firma_id` = ? and `isletme_projeleri`.`deleted_at` is null order by `ad` asc limit 100 || 0.75ms select `kod` from `muhasebe_birimler` where (`muhasebe_birimler`.`firma_id` = ? or (`muhasebe_birimler`.`firma_id` is null and `muhasebe_birimler`.`is_sabit` = ?)) and `aktif_mi` = ? and `kod` in (?, ?) and `muhasebe_birimler`.`deleted_at` is null order by CASE WHEN kod = 'AD' THEN 0 ELSE 1 END limit 1 || 0.68ms select * from `fatura_kalemleri` where `fatura_kalemleri`.`fatura_id` is null and `fatura_kalemleri`.`fatura_id` is not null || 0.6ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/fatura-kaynagis/create/giden-fatura,
102,restoran,admin/restoran/raporlar/genel,filament.admin.restoran.pages.raporlar.genel,"App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi",200,1811,1811,1811,1811,142466,854.02,16,32.49,2.25,142466,21721,"14.29ms select adisyonlar.kasiyer_personel_id as kasiyer_personel_id, COUNT(*) as tahsilat_sayisi, COUNT(DISTINCT restoran_adisyon_tahsilatlari.adisyon_id) as adisyon_sayisi, COALESCE(SUM(restoran_adisyon_tahsilatlari.tutar), 0) as tahsilat_tutari from `restoran_adisyon_tahsilatlari` inner join `restoran_adisyonlari` as `adisyonlar` on `adisyonlar`.`id` = `restoran_adisyon_tahsilatlari`.`adisyon_id` and `adisyonlar`.`firma_i || 6.08ms select sum(`toplam_maliyet`) as aggregate from `stok_hareketleri` where `firma_id` = ? and `belge_turu` = ? and `tarih` between ? and ? || 2ms select `kurye_personel_id`, COUNT(*) as teslimat_sayisi, COALESCE(SUM(genel_toplam), 0) as teslimat_tutari from `restoran_adisyonlari` where `firma_id` = ? and `kurye_personel_id` is not null and `teslimat_at` between ? and ? and `paket_durum` = ? and `restoran_adisyonlari`.`deleted_at` is null group by `kurye_personel_id` order by `teslimat_sayisi` desc || 1.99ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.6ms select `garson_personel_id`, COUNT(*) as adisyon_sayisi, COALESCE(SUM(genel_toplam), 0) as toplam_tutar from `restoran_adisyonlari` where `firma_id` = ? and `garson_personel_id` is not null and `acilis_at` between ? and ? and `restoran_adisyonlari`.`deleted_at` is null group by `garson_personel_id` order by `toplam_tutar` desc",http://127.0.0.1:8000/admin/restoran/raporlar/genel,
103,muhasebe,admin/muhasebe/entegrasyonlar/nette-fatura,filament.admin.muhasebe.pages.entegrasyonlar.nette-fatura,"App\Filament\Clusters\Muhasebe\Pages\NetteFaturaEntegrasyonSayfasi",200,1806.9,1806.9,1806.9,1806.9,238869,941.74,27,27.66,3.55,238869,29355,"8.2ms select * from `nette_fatura_gelen_belgeler` where `firma_id` = ? order by `invoice_date` desc, `id` desc limit 15 || 7.86ms select `id`, `islem_tipi`, `durum`, `response_message`, `error_message`, `response_meta`, `created_at` from `nette_fatura_gonderimleri` where `firma_id` = ? and `islem_tipi` in (?, ?, ?) order by `id` desc limit 1 || 1.28ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.88ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.85ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/entegrasyonlar/nette-fatura,
104,personel-takip,admin/personel-takip/izinler,filament.admin.personel-takip.resources.izinler.index,"App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\ListPersonelIzinleri",200,1806.7,1806.7,1806.7,1806.7,179926,854.1,6,18.23,5.42,179926,25752,"15.24ms select count(*) as aggregate from `personel_izinleri` where `personel_izinleri`.`deleted_at` is null || 1.02ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.55ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.54ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.52ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/personel-takip/izinler,
105,web,admin/web/web-ayarlar/menu-ayarlari/utility-menu,filament.admin.web.pages.web-ayarlar.menu-ayarlari.utility-menu,"App\Filament\Clusters\Web\Pages\UtilityMenuAyarlari",200,1802.52,1802.52,1802.52,1802.52,181274,871.71,3,5.29,4.92,181274,24710,"2.22ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 2.21ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.86ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/web/web-ayarlar/menu-ayarlari/utility-menu,
