"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","2053,43","1965,34","2195,47","1965,34|2195,47|1999,48","437563","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"2","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","2008,29","1908,55","2187,79","1928,55|2187,79|1908,55","347796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"3","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","1979,42","1852,34","2187,56","1852,34|2187,56|1898,36","316886","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"4","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","1931,03","1822,54","2127,35","1822,54|2127,35|1843,2","242796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"5","muhasebe","admin/muhasebe/finans/poslar/1","admin/muhasebe/finans/poslar/{record}","filament.admin.muhasebe.resources.finans.poslar.view","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ViewPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","1852,12","1742,84","2018,12","1742,84|2018,12|1795,41","188130","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1",
"6","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1/edit","admin/muhasebe/cari-yonetimi/cariler/{record}/edit","filament.admin.muhasebe.resources.cari-yonetimi.cariler.edit","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\EditCari","App\Models\Muhasebe\Cari","1","200","1823,77","1687,05","2035,5","1748,76|2035,5|1687,05","212195","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1/edit",
"7","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","1711,67","1665,99","1764,89","1665,99|1704,13|1764,89","165132","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"8","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/edit","admin/teklif-yonetimi/sablonlar/{record}/edit","filament.admin.teklif-yonetimi.resources.sablonlar.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\EditTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","1690,53","1681,12","1696,38","1681,12|1694,1|1696,38","184496","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/edit",
