"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"52","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/dis-servis","filament.admin.teknik-servis.resources.servis-kayitlari.create_dis_servis","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\DisServisKaydiOlusturSayfasi","200","1842,39","1788,48","1908,48","1830,21|1788,48|1908,48","263854","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/dis-servis",
"53","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/create","filament.admin.resources.firma-ici-kullanicilar.create","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciOlustur","200","1840,18","1724,75","2048,65","2048,65|1747,15|1724,75","166721","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/create",
"54","muhasebe","admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi","filament.admin.muhasebe.resources.fatura-kaynagis.createGidenIade","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenIadeFaturasi","200","1838,52","1727,44","2019,91","2019,91|1768,2|1727,44","192871","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi",
"55","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","1831,06","1820,34","1836,99","1836,99|1835,84|1820,34","284324","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"56","teklif-yonetimi","admin/teklif-yonetimi/teklifler/create","filament.admin.teklif-yonetimi.resources.teklifler.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifKaynagi\Pages\CreateTeklif","200","1829,66","1805,06","1875,77","1808,16|1805,06|1875,77","253373","http://localhost/yalova-kamera/admin/teklif-yonetimi/teklifler/create",
"57","teknik-servis","admin/teknik-servis/sablonlar/whatsapp-sablonlari","filament.admin.teknik-servis.pages.sablonlar.whatsapp-sablonlari","App\Filament\Clusters\TeknikServis\Pages\WhatsappSablonlariSayfasi","200","1827,83","1736,22","2001,89","2001,89|1745,39|1736,22","186145","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/whatsapp-sablonlari",
"58","muhasebe","admin/muhasebe/tanimlar/varyantlar","filament.admin.muhasebe.resources.tanimlar.varyantlar.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeVaryantTanimKaynagi\Pages\ListMuhasebeVaryantlari","200","1827,12","1694,21","2045,84","1741,31|2045,84|1694,21","160765","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/varyantlar",
"59","web","admin/web/sayfalar/hakkimizda","filament.admin.web.pages.sayfalar.hakkimizda","App\Filament\Clusters\Web\Pages\Hakkimizda","200","1826,95","1734,82","1972,47","1972,47|1734,82|1773,55","181779","http://localhost/yalova-kamera/admin/web/sayfalar/hakkimizda",
"60","muhasebe","admin/muhasebe/satis/banka-satis","filament.admin.muhasebe.pages.satis.banka-satis","App\Filament\Clusters\Muhasebe\Pages\BankaSatis","200","1824,87","1708,42","2011","1755,2|2011|1708,42","165097","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"61","sistem-planlar","admin/sistem-planlar","filament.admin.resources.sistem-planlar.index","App\Filament\Resources\PlanYonetimKaynagi\Pages\PlanListesi","200","1823,3","1737,85","1908,29","1908,29|1823,75|1737,85","217763","http://localhost/yalova-kamera/admin/sistem-planlar",
