"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1","admin/muhasebe/cari-yonetimi/cariler/{record}","filament.admin.muhasebe.resources.cari-yonetimi.cariler.view","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ViewCari","App\Models\Muhasebe\Cari","1","200","5335,66","5335,66","5335,66","5335.66","282401","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1",
"2","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/edit","admin/teklif-yonetimi/sablonlar/{record}/edit","filament.admin.teklif-yonetimi.resources.sablonlar.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\EditTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","5268,89","5268,89","5268,89","5268.89","204301","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/edit",
"3","firma-kullanici-gruplari","admin/firma-kullanici-gruplari/1/edit","admin/firma-kullanici-gruplari/{record}/edit","filament.admin.resources.firma-kullanici-gruplari.edit","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\EditFirmaKullaniciGrubu","App\Models\Rol","1","404","2951,97","2951,97","2951,97","2951.97","0","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari/1/edit","Uzak sunucu hata döndürdü: (404) Bulunamadı."
"4","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","2841,23","2841,23","2841,23","2841.23","165066","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"5","dashboard",,"admin/muhasebe/tanimlar/cari-gruplari/{record}/edit","filament.admin.muhasebe.resources.tanimlar.cari-gruplari.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\CariGrubuTanimKaynagi\Pages\EditCariGrubu","App\Models\Muhasebe\CariGrubu",,"200","2747,16","2747,16","2747,16","2747.16","100562","http://localhost/yalova-kamera/",
"6","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","2507,56","2507,56","2507,56","2507.56","348999","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"7","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","2363,27","2363,27","2363,27","2363.27","437545","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"8","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","2291,17","2291,17","2291,17","2291.17","395969","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"9","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","2219,09","2219,09","2219,09","2219.09","316985","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"10","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","2153,68","2153,68","2153,68","2153.68","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
"11","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","2133,2","2133,2","2133,2","2133.2","248313","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"12","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/preview","admin/teklif-yonetimi/sablonlar/{record}/preview","filament.admin.teklif-yonetimi.resources.sablonlar.preview","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\PreviewTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","2112,8","2112,8","2112,8","2112.8","162540","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/preview",
"13","dashboard",,"admin/restoran/masalar/{record}/edit","filament.admin.restoran.resources.masalar.edit","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\EditRestoranMasa","App\Models\Restoran\RestoranMasasi",,"200","2093,09","2093,09","2093,09","2093.09","100562","http://localhost/yalova-kamera/",
"14","product-categories","admin/product-categories/1/edit","admin/product-categories/{record}/edit","filament.admin.resources.product-categories.edit","App\Filament\Resources\ProductCategoryResource\Pages\EditProductCategory","App\Models\ProductCategory","1","500","2091,95","2091,95","2091,95","2091.95","0","http://localhost/yalova-kamera/admin/product-categories/1/edit","Uzak sunucu hata döndürdü: (500) İç Sunucu Hatası."
"15","muhasebe","admin/muhasebe/finans/banka-hesaplari/1/edit","admin/muhasebe/finans/banka-hesaplari/{record}/edit","filament.admin.muhasebe.resources.finans.banka-hesaplari.edit","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\EditBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","2034,62","2034,62","2034,62","2034.62","175353","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1/edit",
