"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"35","muhasebe","admin/muhasebe/tanimlar/vergi-oranlari/1/edit","admin/muhasebe/tanimlar/vergi-oranlari/{record}/edit","filament.admin.muhasebe.resources.tanimlar.vergi-oranlari.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\VergiOraniTanimKaynagi\Pages\EditVergiOrani","App\Models\Muhasebe\VergiOrani","1","200","344,7","337,4","352","337,4|352","141226","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/vergi-oranlari/1/edit",
"36","sistem-kullanicilar","admin/sistem-kullanicilar/1","admin/sistem-kullanicilar/{record}","filament.admin.resources.sistem-kullanicilar.view","App\Filament\Resources\UserResource\Pages\ViewUser","App\Models\User","1","200","343,1","341,63","344,58","341,63|344,58","133841","http://localhost/yalova-kamera/admin/sistem-kullanicilar/1",
"37","sistem-moduller","admin/sistem-moduller/1/edit","admin/sistem-moduller/{record}/edit","filament.admin.resources.sistem-moduller.edit","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulDuzenle","App\Models\Modul","1","200","342,45","339,82","345,08","345,08|339,82","133887","http://localhost/yalova-kamera/admin/sistem-moduller/1/edit",
"38","muhasebe","admin/muhasebe/tanimlar/para-birimleri/1/edit","admin/muhasebe/tanimlar/para-birimleri/{record}/edit","filament.admin.muhasebe.resources.tanimlar.para-birimleri.edit","App\Filament\Clusters\Muhasebe\Resources\ParaBirimiTanimKaynagi\Pages\EditParaBirimi","App\Models\Muhasebe\ParaBirimi","1","200","342,32","338,36","346,27","346,27|338,36","137756","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/para-birimleri/1/edit",
"39","muhasebe","admin/muhasebe/tanimlar/birimler/1/edit","admin/muhasebe/tanimlar/birimler/{record}/edit","filament.admin.muhasebe.resources.tanimlar.birimler.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\EditBirim","App\Models\Muhasebe\Birim","1","200","342,14","341,25","343,03","343,03|341,25","137679","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler/1/edit",
"40","personel-takip","admin/personel-takip/tanimlar/subeler/1/edit","admin/personel-takip/tanimlar/subeler/{record}/edit","filament.admin.personel-takip.resources.tanimlar.subeler.edit","App\Filament\Clusters\PersonelTakip\Resources\SubeKaynagi\Pages\EditSube","App\Models\Sube","1","200","341,69","336,19","347,19","347,19|336,19","143432","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/subeler/1/edit",
"41","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar/1/edit","admin/teknik-servis/tanimlar/aksesuarlar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\EditTeknikServisAksesuar","App\Models\TeknikServis\TeknikServisAksesuarTanimi","1","200","335,55","334,97","336,14","336,14|334,97","141748","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar/1/edit",
"42","teknik-servis","admin/teknik-servis/tanimlar/markalar/1/edit","admin/teknik-servis/tanimlar/markalar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.markalar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisMarkaKaynagi\Pages\EditTeknikServisMarkasi","App\Models\TeknikServis\TeknikServisMarkaTanimi","1","200","333,49","328,46","338,53","328,46|338,53","141696","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/markalar/1/edit",
"43","firma-kullanici-gruplari","admin/firma-kullanici-gruplari/1/edit","admin/firma-kullanici-gruplari/{record}/edit","filament.admin.resources.firma-kullanici-gruplari.edit","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\EditFirmaKullaniciGrubu","App\Models\Rol","1","404","270,33","256,05","284,62","284,62|256,05","0","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari/1/edit","Uzak sunucu hata döndürdü: (404) Bulunamadı."
"44","web","admin/web/urunler/urun-listesi/1","admin/web/urunler/urun-listesi/{record}","filament.admin.web.resources.urunler.urun-listesi.view","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ViewUrun","App\Models\Muhasebe\StokKarti","1","404","270,07","252,36","287,79","287,79|252,36","0","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/1","Uzak sunucu hata döndürdü: (404) Bulunamadı."
"45","web","admin/web/urunler/urun-listesi/1/edit","admin/web/urunler/urun-listesi/{record}/edit","filament.admin.web.resources.urunler.urun-listesi.edit","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\EditUrun","App\Models\Muhasebe\StokKarti","1","404","253,15","252,17","254,13","254,13|252,17","0","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/1/edit","Uzak sunucu hata döndürdü: (404) Bulunamadı."
