"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1","admin/muhasebe/cari-yonetimi/cariler/{record}","filament.admin.muhasebe.resources.cari-yonetimi.cariler.view","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ViewCari","App\Models\Muhasebe\Cari","1","200","2573","1783,59","4099,79","4099,79|1783,59|1835,63","280927","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1",
"2","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","1963,16","1936,38","2014,31","1938,81|1936,38|2014,31","437563","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"3","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","1961,81","1856,22","2118,67","2118,67|1856,22|1910,54","347796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"4","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","1957,37","1771,15","2068,72","2068,72|2032,24|1771,15","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"5","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","1941,52","1835,85","2113,75","2113,75|1835,85|1874,95","317006","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
