"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","622,85","596,15","663,03","596,15|663,03|609,36","337087","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","web","admin/web/urunler/urun-listesi/9/edit","admin/web/urunler/urun-listesi/{record}/edit","filament.admin.web.resources.urunler.urun-listesi.edit","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\EditUrun","App\Models\Muhasebe\StokKarti","9","200","585,94","577,41","592,07","592,07|588,34|577,41","396038","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9/edit",
"3","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","573,87","515,27","648,75","557,6|648,75|515,27","297607","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"4","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","530,87","487,04","584,58","520,99|584,58|487,04","253206","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"5","teklif-yonetimi","admin/teklif-yonetimi/teklifler/1/edit","admin/teklif-yonetimi/teklifler/{record}/edit","filament.admin.teklif-yonetimi.resources.teklifler.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifKaynagi\Pages\EditTeklif","App\Models\Muhasebe\Teklif","1","200","517,45","440,54","654,51","457,32|654,51|440,54","225097","http://localhost/yalova-kamera/admin/teklif-yonetimi/teklifler/1/edit",
"6","web","admin/web/urunler/urun-listesi/9","admin/web/urunler/urun-listesi/{record}","filament.admin.web.resources.urunler.urun-listesi.view","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ViewUrun","App\Models\Muhasebe\StokKarti","9","200","498,58","492,34","506,58","506,58|492,34|496,83","260778","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9",
"7","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","492,48","481,98","502,12","493,34|502,12|481,98","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
"8","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","478,35","465,39","488,43","488,43|465,39|481,24","228848","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"9","siparisler","admin/siparisler/1","admin/siparisler/{record}","filament.admin.resources.siparisler.view","App\Filament\Resources\SiparisKaynagi\Pages\ViewSiparis","App\Models\Ecommerce\Siparis","1","200","466,37","447,22","498,82","498,82|453,06|447,22","220463","http://localhost/yalova-kamera/admin/siparisler/1",
"10","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","459,43","448,32","475,42","448,32|475,42|454,54","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"11","personel-takip","admin/personel-takip/personeller/1/edit","admin/personel-takip/personeller/{record}/edit","filament.admin.personel-takip.resources.personeller.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\EditPersonel","App\Models\Personel\Personel","1","200","443,54","424,56","461,54","444,53|424,56|461,54","222831","http://localhost/yalova-kamera/admin/personel-takip/personeller/1/edit",
"12","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","442,02","412,57","478,08","435,41|478,08|412,57","165132","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"13","muhasebe","admin/muhasebe/finans/poslar/1/edit","admin/muhasebe/finans/poslar/{record}/edit","filament.admin.muhasebe.resources.finans.poslar.edit","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\EditPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","429,6","427,63","433,23","427,94|433,23|427,63","220933","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1/edit",
"14","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1/edit","admin/muhasebe/cari-yonetimi/cariler/{record}/edit","filament.admin.muhasebe.resources.cari-yonetimi.cariler.edit","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\EditCari","App\Models\Muhasebe\Cari","1","200","426,88","417,6","434,84","434,84|417,6|428,2","212195","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1/edit",
"15","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/18/edit","admin/teklif-yonetimi/sablonlar/{record}/edit","filament.admin.teklif-yonetimi.resources.sablonlar.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\EditTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","18","200","417,16","387,64","464,18","399,67|464,18|387,64","169317","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/18/edit",
"16","muhasebe","admin/muhasebe/finans/poslar/1","admin/muhasebe/finans/poslar/{record}","filament.admin.muhasebe.resources.finans.poslar.view","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ViewPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","413,95","405,13","423,02","423,02|405,13|413,7","188130","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1",
"17","restoran","admin/restoran/adisyonlar/1/edit","admin/restoran/adisyonlar/{record}/edit","filament.admin.restoran.resources.adisyonlar.edit","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\EditRestoranAdisyon","App\Models\Restoran\RestoranAdisyonu","1","200","409","400,44","420,24","420,24|400,44|406,32","204319","http://localhost/yalova-kamera/admin/restoran/adisyonlar/1/edit",
"18","personel-takip","admin/personel-takip/giris-cikis/1/edit","admin/personel-takip/giris-cikis/{record}/edit","filament.admin.personel-takip.resources.giris-cikis.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelGirisCikisKaynagi\Pages\EditPersonelGirisCikis","App\Models\Personel\PersonelGirisCikisi","1","200","406,88","398","415,05","398|415,05|407,58","181606","http://localhost/yalova-kamera/admin/personel-takip/giris-cikis/1/edit",
"19","siparisler","admin/siparisler/1/duzenle","admin/siparisler/{record}/duzenle","filament.admin.resources.siparisler.edit","App\Filament\Resources\SiparisKaynagi\Pages\EditSiparis","App\Models\Ecommerce\Siparis","1","200","398,95","395,83","404","404|395,83|397,01","181609","http://localhost/yalova-kamera/admin/siparisler/1/duzenle",
"20","personel-takip","admin/personel-takip/avanslar/1/edit","admin/personel-takip/avanslar/{record}/edit","filament.admin.personel-takip.resources.avanslar.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\EditPersonelAvans","App\Models\Personel\PersonelAvansi","1","200","387,96","365,06","413,14","413,14|385,68|365,06","163876","http://localhost/yalova-kamera/admin/personel-takip/avanslar/1/edit",
"21","muhasebe","admin/muhasebe/finans/banka-hesaplari/1/edit","admin/muhasebe/finans/banka-hesaplari/{record}/edit","filament.admin.muhasebe.resources.finans.banka-hesaplari.edit","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\EditBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","386,55","381,22","391,2","381,22|387,22|391,2","175497","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1/edit",
"22","personel-takip","admin/personel-takip/izinler/1/edit","admin/personel-takip/izinler/{record}/edit","filament.admin.personel-takip.resources.izinler.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\EditPersonelIzin","App\Models\Personel\PersonelIzni","1","200","386,03","376,03","394,06","394,06|388|376,03","165208","http://localhost/yalova-kamera/admin/personel-takip/izinler/1/edit",
"23","muhasebe","admin/muhasebe/finans/banka-hesaplari/1","admin/muhasebe/finans/banka-hesaplari/{record}","filament.admin.muhasebe.resources.finans.banka-hesaplari.view","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ViewBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","385,21","379,52","391,35","391,35|379,52|384,76","165297","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1",
