"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","594,41","587,53","601,29","601,29|587,53","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","restoran","admin/restoran/qr-menu/receteler","filament.admin.restoran.resources.qr-menu.receteler.index","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\ListRestoranReceteleri","200","577,5","559,56","595,43","595,43|559,56","162370","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler",
"3","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","571,69","557,11","586,28","586,28|557,11","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"4","restoran","admin/restoran/qr-menu/receteler/create","filament.admin.restoran.resources.qr-menu.receteler.create","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\CreateRestoranRecete","200","570,76","523,79","617,73","617,73|523,79","178095","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler/create",
"5","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","562,79","559,91","565,66","565,66|559,91","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"6","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","537,55","517,28","557,83","557,83|517,28","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"7","restoran","admin/restoran/adisyonlar/create","filament.admin.restoran.resources.adisyonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\CreateRestoranAdisyon","200","536,51","520,22","552,8","552,8|520,22","196901","http://localhost/yalova-kamera/admin/restoran/adisyonlar/create",
"8","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","535,28","526,23","544,34","544,34|526,23","186779","http://localhost/yalova-kamera/admin/siparisler",
"9","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","528,86","512,95","544,77","544,77|512,95","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"10","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","524,19","503,45","544,92","544,92|503,45","178344","http://localhost/yalova-kamera/admin/sistem-firmalar",
"11","personel-takip","admin/personel-takip/izinler","filament.admin.personel-takip.resources.izinler.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\ListPersonelIzinleri","200","524,15","498,86","549,44","498,86|549,44","159088","http://localhost/yalova-kamera/admin/personel-takip/izinler",
"12","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","521,05","510,99","531,1","510,99|531,1","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"13","restoran","admin/restoran/masalar/create","filament.admin.restoran.resources.masalar.create","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\CreateRestoranMasa","200","513,32","502,96","523,68","523,68|502,96","160786","http://localhost/yalova-kamera/admin/restoran/masalar/create",
"14","restoran","admin/restoran/qr-menu/kategoriler/create","filament.admin.restoran.resources.qr-menu.kategoriler.create","App\Filament\Clusters\Restoran\Resources\RestoranMenuKategoriKaynagi\Pages\CreateRestoranMenuKategori","200","512,36","491,48","533,24","533,24|491,48","144860","http://localhost/yalova-kamera/admin/restoran/qr-menu/kategoriler/create",
"15","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","510,5","492,26","528,75","528,75|492,26","184887","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"16","personel-takip","admin/personel-takip/avanslar","filament.admin.personel-takip.resources.avanslar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\ListPersonelAvanslari","200","510,3","507,74","512,86","507,74|512,86","159956","http://localhost/yalova-kamera/admin/personel-takip/avanslar",
"17","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","510,21","508,84","511,59","508,84|511,59","167841","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"18","personel-takip","admin/personel-takip/giris-cikis","filament.admin.personel-takip.resources.giris-cikis.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelGirisCikisKaynagi\Pages\ListPersonelGirisCikislari","200","510,11","499,02","521,2","521,2|499,02","158656","http://localhost/yalova-kamera/admin/personel-takip/giris-cikis",
"19","personel-takip","admin/personel-takip/maas-donemleri","filament.admin.personel-takip.resources.maas-donemleri.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelMaasDonemiKaynagi\Pages\ListPersonelMaasDonemleri","200","505,42","498,55","512,29","498,55|512,29","160024","http://localhost/yalova-kamera/admin/personel-takip/maas-donemleri",
"20","sistem-kullanicilar","admin/sistem-kullanicilar","filament.admin.resources.sistem-kullanicilar.index","App\Filament\Resources\UserResource\Pages\ListUsers","200","504,47","498,05","510,89","510,89|498,05","159134","http://localhost/yalova-kamera/admin/sistem-kullanicilar",
"21","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","503,86","499,14","508,59","499,14|508,59","160723","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
"22","personel-takip","admin/personel-takip/vardiyalar","filament.admin.personel-takip.resources.vardiyalar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaKaynagi\Pages\ListPersonelVardiyalari","200","503,12","490,92","515,33","515,33|490,92","162355","http://localhost/yalova-kamera/admin/personel-takip/vardiyalar",
"23","restoran","admin/restoran/adisyonlar","filament.admin.restoran.resources.adisyonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\ListRestoranAdisyonlari","200","502,76","493,56","511,97","511,97|493,56","162048","http://localhost/yalova-kamera/admin/restoran/adisyonlar",
"24","restoran","admin/restoran/adisyon-kalemleri/create","filament.admin.restoran.resources.adisyon-kalemleri.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\CreateRestoranAdisyonKalemi","200","500,44","482,7","518,18","518,18|482,7","167138","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri/create",
"25","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","499,76","483,26","516,25","516,25|483,26","147473","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"26","web","admin/web/web-moduller/ucuncu-grup/referanslar","filament.admin.web.pages.web-moduller.ucuncu-grup.referanslar","App\Filament\Clusters\Web\Pages\ModulReferanslar","200","498,55","470,68","526,41","470,68|526,41","228360","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/referanslar",
"27","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","497,62","484,02","511,22","484,02|511,22","159540","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"28","teknik-servis","admin/teknik-servis/servis-kayitlari","filament.admin.teknik-servis.resources.servis-kayitlari.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ListTeknikServisKayitlari","200","496,75","490,16","503,34","503,34|490,16","145871","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari",
"29","personel-takip","admin/personel-takip/tanimlar/departmanlar","filament.admin.personel-takip.resources.tanimlar.departmanlar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\ListPersonelDepartmanlari","200","496,28","482,51","510,04","510,04|482,51","158344","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar",
