"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","bytes","final_url","error"
"47","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","2294,49","2294,49","2294,49","122122","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"48","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeGecmisiSayfasi","200","2285,79","2285,79","2285,79","175931","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-gecmisi",
"49","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","2269,58","2269,58","2269,58","123812","http://localhost/yalova-kamera/admin/restoran/mutfak",
"50","muhasebe","admin/muhasebe/stok/stok-kategorileri","filament.admin.muhasebe.resources.stok.stok-kategorileri.index","App\Filament\Clusters\Muhasebe\Resources\StokKategoriKaynagi\Pages\ListStokKategorileri","200","2267,41","2267,41","2267,41","503670","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-kategorileri",
"51","e-ticaret","admin/e-ticaret/kampanya-yonetimi","filament.admin.e-ticaret.pages.kampanya-yonetimi","App\Filament\Clusters\ETicaret\Pages\KampanyaYonetimiSayfasi","200","2266,27","2266,27","2266,27","139134","http://localhost/yalova-kamera/admin/e-ticaret/kampanya-yonetimi",
"52","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari/create","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\CreatePersonelVardiyaSablonu","200","2265,54","2265,54","2265,54","152726","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari/create",
"53","restoran","admin/restoran/qr-menu/urunler/create","filament.admin.restoran.resources.qr-menu.urunler.create","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\CreateRestoranMenuUrun","200","2254,1","2254,1","2254,1","166471","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler/create",
"54","sistem-moduller","admin/sistem-moduller/create","filament.admin.resources.sistem-moduller.create","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulOlustur","200","2232,13","2232,13","2232,13","135593","http://localhost/yalova-kamera/admin/sistem-moduller/create",
"55","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","2227,2","2227,2","2227,2","294392","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"56","web","admin/web/servisler/web-servis-listesi","filament.admin.web.pages.servisler.web-servis-listesi","App\Filament\Clusters\Web\Pages\WebServisListesi","200","2220,73","2220,73","2220,73","328835","http://localhost/yalova-kamera/admin/web/servisler/web-servis-listesi",
"57","restoran","admin/restoran/adisyonlar/create","filament.admin.restoran.resources.adisyonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\CreateRestoranAdisyon","500","2212,57","2212,57","2212,57","0","http://localhost/yalova-kamera/admin/restoran/adisyonlar/create","Uzak sunucu hata döndürdü: (500) İç Sunucu Hatası."
"58","ayarlar","admin/ayarlar/kullanici-ayarlari/kullanici-gruplari","filament.admin.ayarlar.pages.kullanici-ayarlari.kullanici-gruplari","App\Filament\Clusters\Ayarlar\Pages\KullaniciGruplari","200","2206,64","2206,64","2206,64","112009","http://localhost/yalova-kamera/admin/ayarlar/kullanici-ayarlari/kullanici-gruplari",
"59","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","2197,46","2197,46","2197,46","228574","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
"60","e-ticaret","admin/e-ticaret","filament.admin.e-ticaret","App\Filament\Clusters\ETicaret","200","2189","2189","2189","110823","http://localhost/yalova-kamera/admin/e-ticaret",
"61","muhasebe","admin/muhasebe/finans/kasa-hesaplari","filament.admin.muhasebe.resources.finans.kasa-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\ListKasaHesaplari","200","2187,01","2187,01","2187,01","267968","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari",
"62","web","admin/web/bloglar/blog-listesi","filament.admin.web.pages.bloglar.blog-listesi","App\Filament\Clusters\Web\Pages\BlogListesi","200","2185,55","2185,55","2185,55","329319","http://localhost/yalova-kamera/admin/web/bloglar/blog-listesi",
"63","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","2182,38","2182,38","2182,38","266983","http://localhost/yalova-kamera/admin/sistem-firmalar",
"64","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\ListDovizKurlari","200","2179,93","2179,93","2179,93","238529","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari",
"65","teknik-servis","admin/teknik-servis/tanimlar/arizalar","filament.admin.teknik-servis.resources.tanimlar.arizalar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisArizaKaynagi\Pages\ListTeknikServisArizalari","200","2176,04","2176,04","2176,04","320778","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/arizalar",
"66","muhasebe","admin/muhasebe/fatura-kaynagis/create/gider-faturasi","filament.admin.muhasebe.resources.fatura-kaynagis.createGider","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGiderFaturasi","200","2174,48","2174,48","2174,48","287705","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/gider-faturasi",
"67","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/iade","filament.admin.teknik-servis.resources.servis-kayitlari.iade","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariIadeSayfasi","200","2171,29","2171,29","2171,29","145905","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/iade",
"68","muhasebe","admin/muhasebe/fatura-kaynagis/create/giden-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createGiden","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenFatura","200","2168,02","2168,02","2168,02","287791","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/giden-fatura",
"69","e-ticaret","admin/e-ticaret/odeme-yonetimi","filament.admin.e-ticaret.pages.odeme-yonetimi","App\Filament\Clusters\ETicaret\Pages\OdemeYonetimiSayfasi","200","2165,9","2165,9","2165,9","141404","http://localhost/yalova-kamera/admin/e-ticaret/odeme-yonetimi",
"70","web","admin/web/servisler/ayarlar","filament.admin.web.pages.servisler.ayarlar","App\Filament\Clusters\Web\Pages\WebServisAyarlar","200","2164,74","2164,74","2164,74","146466","http://localhost/yalova-kamera/admin/web/servisler/ayarlar",
"71","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","2163,76","2163,76","2163,76","284324","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"72","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","2159,59","2159,59","2159,59","187672","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"73","muhasebe","admin/muhasebe/stok","filament.admin.muhasebe.pages.stok","App\Filament\Clusters\Muhasebe\Pages\Stok","200","2159,51","2159,51","2159,51","111839","http://localhost/yalova-kamera/admin/muhasebe/stok",
"74","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","2159,44","2159,44","2159,44","261290","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"75","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","2158,73","2158,73","2158,73","201342","http://localhost/yalova-kamera/admin/siparisler",
"76","teklif-yonetimi","admin/teklif-yonetimi/sablonlar","filament.admin.teklif-yonetimi.resources.sablonlar.index","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\ListTeklifSablonlari","200","2156,41","2156,41","2156,41","376383","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar",
"77","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","2156,27","2156,27","2156,27","382354","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"78","personel-takip","admin/personel-takip/terminal/pin-giris-cikis","filament.admin.personel-takip.pages.terminal.pin-giris-cikis","App\Filament\Clusters\PersonelTakip\Pages\PersonelPinTerminalSayfasi","200","2155,8","2155,8","2155,8","133494","http://localhost/yalova-kamera/admin/personel-takip/terminal/pin-giris-cikis",
"79","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\ListPersonelVardiyaSablonlari","200","2155,09","2155,09","2155,09","203671","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari",
"80","muhasebe","admin/muhasebe/stok/stok-hareketleri","filament.admin.muhasebe.pages.stok.stok-hareketleri","App\Filament\Clusters\Muhasebe\Pages\StokHareketleriSayfasi","200","2152,46","2152,46","2152,46","328606","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-hareketleri",
"81","muhasebe","admin/muhasebe/cari-yonetimi/cari-yaslandirma","filament.admin.muhasebe.pages.cari-yonetimi.cari-yaslandirma","App\Filament\Clusters\Muhasebe\Pages\CariYaslandirmaSayfasi","200","2152,16","2152,16","2152,16","118921","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-yaslandirma",
"82","e-ticaret","admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari","filament.admin.e-ticaret.pages.mesaj-yonetimi.musteri-mesajlari","App\Filament\Clusters\ETicaret\Pages\MusteriMesajlariSayfasi","200","2149,67","2149,67","2149,67","132806","http://localhost/yalova-kamera/admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari",
"83","teknik-servis","admin/teknik-servis/sablonlar/whatsapp-sablonlari","filament.admin.teknik-servis.pages.sablonlar.whatsapp-sablonlari","App\Filament\Clusters\TeknikServis\Pages\WhatsappSablonlariSayfasi","200","2142,97","2142,97","2142,97","186137","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/whatsapp-sablonlari",
"84","web","admin/web/projeler/liste","filament.admin.web.pages.projeler.liste","App\Filament\Clusters\Web\Pages\WebProje","200","2142,96","2142,96","2142,96","307094","http://localhost/yalova-kamera/admin/web/projeler/liste",
"85","e-ticaret","admin/e-ticaret/pazaryeri-entegrasyonu","filament.admin.e-ticaret.pages.pazaryeri-entegrasyonu","App\Filament\Clusters\ETicaret\Pages\PazaryeriEntegrasyonuSayfasi","200","2142,06","2142,06","2142,06","135743","http://localhost/yalova-kamera/admin/e-ticaret/pazaryeri-entegrasyonu",
"86","e-ticaret","admin/e-ticaret/varyasyon-yonetimi","filament.admin.e-ticaret.pages.varyasyon-yonetimi","App\Filament\Clusters\ETicaret\Pages\VaryasyonYonetimiSayfasi","200","2141,46","2141,46","2141,46","112936","http://localhost/yalova-kamera/admin/e-ticaret/varyasyon-yonetimi",
"87","muhasebe","admin/muhasebe/tanimlar/para-birimleri/create","filament.admin.muhasebe.resources.tanimlar.para-birimleri.create","App\Filament\Clusters\Muhasebe\Resources\ParaBirimiTanimKaynagi\Pages\CreateParaBirimi","200","2136,39","2136,39","2136,39","145104","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/para-birimleri/create",
"88","muhasebe","admin/muhasebe/fatura-kaynagis/create/bekleyen-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createBekleyen","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateBekleyenFatura","200","2134,89","2134,89","2134,89","287593","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/bekleyen-fatura",
"89","web","admin/web/sayfalar/iletisim","filament.admin.web.pages.sayfalar.iletisim","App\Filament\Clusters\Web\Pages\Iletisim","200","2132,29","2132,29","2132,29","191064","http://localhost/yalova-kamera/admin/web/sayfalar/iletisim",
"90","muhasebe","admin/muhasebe/faturalar/bekleyen-faturalar","filament.admin.muhasebe.pages.faturalar.bekleyen-faturalar","App\Filament\Clusters\Muhasebe\Pages\BekleyenFatura","200","2129,99","2129,99","2129,99","145720","http://localhost/yalova-kamera/admin/muhasebe/faturalar/bekleyen-faturalar",
"91","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/garantiye-gonderilen","filament.admin.teknik-servis.resources.servis-kayitlari.garantiye_gonderilen","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariGarantiyeGonderilenSayfasi","200","2119,7","2119,7","2119,7","145999","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/garantiye-gonderilen",
"92","muhasebe","admin/muhasebe/sistem-olaylari","filament.admin.muhasebe.pages.sistem-olaylari","App\Filament\Clusters\Muhasebe\Pages\SistemOlaylariSayfasi","200","2116,24","2116,24","2116,24","310577","http://localhost/yalova-kamera/admin/muhasebe/sistem-olaylari",
"93","teknik-servis","admin/teknik-servis/servis-kayitlari","filament.admin.teknik-servis.resources.servis-kayitlari.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ListTeknikServisKayitlari","200","2108,75","2108,75","2108,75","145870","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari",
"94","muhasebe","admin/muhasebe/fatura-kaynagis/create/gelen-iade-faturasi","filament.admin.muhasebe.resources.fatura-kaynagis.createGelenIade","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGelenIadeFaturasi","200","2103,74","2103,74","2103,74","287719","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/gelen-iade-faturasi",
"95","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","2102,91","2102,91","2102,91","245783","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"96","web","admin/web/bloglar/ayarlar","filament.admin.web.pages.bloglar.ayarlar","App\Filament\Clusters\Web\Pages\BlogAyarlar","200","2102,27","2102,27","2102,27","142664","http://localhost/yalova-kamera/admin/web/bloglar/ayarlar",
"97","muhasebe","admin/muhasebe","filament.admin.muhasebe","App\Filament\Clusters\Muhasebe","200","2093,98","2093,98","2093,98","110817","http://localhost/yalova-kamera/admin/muhasebe",
"98","muhasebe","admin/muhasebe/finans/banka-hesaplari","filament.admin.muhasebe.resources.finans.banka-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ListBankaHesaplari","200","2089,36","2089,36","2089,36","288581","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari",
"99","web","admin/web/web-ayarlar/web-genel-ayarlar","filament.admin.web.pages.web-ayarlar.web-genel-ayarlar","App\Filament\Clusters\Web\Pages\WebGenelAyarlar","200","2088,66","2088,66","2088,66","240429","http://localhost/yalova-kamera/admin/web/web-ayarlar/web-genel-ayarlar",
"100","web","admin/web/web-moduller/ucuncu-grup/faqs","filament.admin.web.pages.web-moduller.ucuncu-grup.faqs","App\Filament\Clusters\Web\Pages\ModulFaqs","200","2087,4","2087,4","2087,4","178725","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/faqs",
"101","web","admin/web/web-ayarlar/menu-ayarlari/utility-menu","filament.admin.web.pages.web-ayarlar.menu-ayarlari.utility-menu","App\Filament\Clusters\Web\Pages\UtilityMenuAyarlari","200","2081,57","2081,57","2081,57","161047","http://localhost/yalova-kamera/admin/web/web-ayarlar/menu-ayarlari/utility-menu",
"102","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/tamamlanan-dis-servis","filament.admin.teknik-servis.resources.servis-kayitlari.tamamlanan_dis_servis","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariTamamlananDisServisSayfasi","200","2080,35","2080,35","2080,35","146007","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/tamamlanan-dis-servis",
"103","teknik-servis","admin/teknik-servis/tanimlar/cihazlar","filament.admin.teknik-servis.resources.tanimlar.cihazlar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\ListTeknikServisCihazlari","200","2078,36","2078,36","2078,36","295606","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar",
"104","web","admin/web/web-ayarlar/menu-ayarlari/menu-duzenleme","filament.admin.web.pages.web-ayarlar.menu-ayarlari.menu-duzenleme","App\Filament\Clusters\Web\Pages\ModulMenu","200","2074,05","2074,05","2074,05","358425","http://localhost/yalova-kamera/admin/web/web-ayarlar/menu-ayarlari/menu-duzenleme",
"105","web","admin/web/servisler/web-servis-kategori","filament.admin.web.pages.servisler.web-servis-kategori","App\Filament\Clusters\Web\Pages\WebServisKategori","200","2071,18","2071,18","2071,18","292980","http://localhost/yalova-kamera/admin/web/servisler/web-servis-kategori",
"106","web","admin/web/bloglar/blog-kategori","filament.admin.web.pages.bloglar.blog-kategori","App\Filament\Clusters\Web\Pages\BlogKategori","200","2070,99","2070,99","2070,99","291754","http://localhost/yalova-kamera/admin/web/bloglar/blog-kategori",
"107","muhasebe","admin/muhasebe/finans/poslar","filament.admin.muhasebe.resources.finans.poslar.index","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ListPosHesaplari","200","2069,86","2069,86","2069,86","256394","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar",
"108","muhasebe","admin/muhasebe/fatura-kaynagis/create/gelen-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createGelen","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGelenFatura","200","2067,03","2067,03","2067,03","287677","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/gelen-fatura",
"109","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-fisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-fisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeFisiSayfasi","200","2062,59","2062,59","2062,59","114194","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-fisi",
"110","ayarlar","admin/ayarlar/kullanici-ayarlari/kullanicilar","filament.admin.ayarlar.pages.kullanici-ayarlari.kullanicilar","App\Filament\Clusters\Ayarlar\Pages\Kullanicilar","200","2059,01","2059,01","2059,01","111968","http://localhost/yalova-kamera/admin/ayarlar/kullanici-ayarlari/kullanicilar",
"111","web","admin/web/projeler/kategoriler","filament.admin.web.pages.projeler.kategoriler","App\Filament\Clusters\Web\Pages\WebProjeKategori","200","2057,71","2057,71","2057,71","291815","http://localhost/yalova-kamera/admin/web/projeler/kategoriler",
"112","web","admin/web/web-ayarlar/mail-gonderim","filament.admin.web.pages.web-ayarlar.mail-gonderim","App\Filament\Clusters\Web\Pages\WebMailGonderim","200","2057,65","2057,65","2057,65","177792","http://localhost/yalova-kamera/admin/web/web-ayarlar/mail-gonderim",
"113","muhasebe","admin/muhasebe/fatura-kaynagis/create/proforma-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createProforma","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateProformaFatura","200","2053,95","2053,95","2053,95","287622","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/proforma-fatura",
"114","sistem-planlar","admin/sistem-planlar","filament.admin.resources.sistem-planlar.index","App\Filament\Resources\PlanYonetimKaynagi\Pages\PlanListesi","200","2052,46","2052,46","2052,46","217763","http://localhost/yalova-kamera/admin/sistem-planlar",
"115","teknik-servis","admin/teknik-servis/tanimlar/servis-durumlari","filament.admin.teknik-servis.resources.tanimlar.servis-durumlari.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisDurumuTanimKaynagi\Pages\ListTeknikServisDurumlari","200","2048,47","2048,47","2048,47","308850","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/servis-durumlari",
"116","restoran","admin/restoran/qr-menu/receteler","filament.admin.restoran.resources.qr-menu.receteler.index","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\ListRestoranReceteleri","200","2045,09","2045,09","2045,09","166948","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler",
"117","muhasebe","admin/muhasebe/faturalar/gider-faturasi","filament.admin.muhasebe.pages.faturalar.gider-faturasi","App\Filament\Clusters\Muhasebe\Pages\GiderFaturasiSayfasi","200","2043,27","2043,27","2043,27","159501","http://localhost/yalova-kamera/admin/muhasebe/faturalar/gider-faturasi",
"118","web","admin/web/web-ayarlar/web-api-ayarlar","filament.admin.web.pages.web-ayarlar.web-api-ayarlar","App\Filament\Clusters\Web\Pages\WebApiAyarlar","200","2040,85","2040,85","2040,85","175589","http://localhost/yalova-kamera/admin/web/web-ayarlar/web-api-ayarlar",
"119","muhasebe","admin/muhasebe/satis/barkodlu-satis-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisGecmisiSayfasi","200","2040,8","2040,8","2040,8","297048","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-gecmisi",
"120","firma-kullanici-gruplari","admin/firma-kullanici-gruplari","filament.admin.resources.firma-kullanici-gruplari.index","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\ListFirmaKullaniciGruplari","200","2040,15","2040,15","2040,15","163302","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari",
"121","muhasebe","admin/muhasebe/finans/cek","filament.admin.muhasebe.pages.finans.cek","App\Filament\Clusters\Muhasebe\Pages\CekYonetimiSayfasi","200","2036,69","2036,69","2036,69","112084","http://localhost/yalova-kamera/admin/muhasebe/finans/cek",
"122","muhasebe","admin/muhasebe/cari-yonetimi/cariler/create","filament.admin.muhasebe.resources.cari-yonetimi.cariler.create","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\CreateCari","200","2034,27","2034,27","2034,27","211192","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/create",
"123","firma-kullanici-gruplari","admin/firma-kullanici-gruplari/create","filament.admin.resources.firma-kullanici-gruplari.create","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\CreateFirmaKullaniciGrubu","200","2032,46","2032,46","2032,46","131332","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari/create",
"124","teknik-servis","admin/teknik-servis/ayarlar/kabul-fisi","filament.admin.teknik-servis.pages.ayarlar.kabul-fisi","App\Filament\Clusters\TeknikServis\Pages\KabulFisi","200","2025,67","2025,67","2025,67","118075","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/kabul-fisi",
"125","sistem-moduller","admin/sistem-moduller","filament.admin.resources.sistem-moduller.index","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulListesi","200","2023,69","2023,69","2023,69","300378","http://localhost/yalova-kamera/admin/sistem-moduller",
"126","muhasebe","admin/muhasebe/cari","filament.admin.muhasebe.pages.cari","App\Filament\Clusters\Muhasebe\Pages\Cari","200","2017,38","2017,38","2017,38","113261","http://localhost/yalova-kamera/admin/muhasebe/cari",
"127","personel-takip","admin/personel-takip/ayarlar","filament.admin.personel-takip.pages.ayarlar","App\Filament\Clusters\PersonelTakip\Pages\PersonelAyarlariSayfasi","200","2012,28","2012,28","2012,28","138191","http://localhost/yalova-kamera/admin/personel-takip/ayarlar",
"128","sistem-roller","admin/sistem-roller","filament.admin.resources.sistem-roller.index","App\Filament\Resources\RoleResource\Pages\ListRoles","200","2008,87","2008,87","2008,87","298912","http://localhost/yalova-kamera/admin/sistem-roller",
"129","muhasebe","admin/muhasebe/faturalar/giden-iade-faturalari","filament.admin.muhasebe.pages.faturalar.giden-iade-faturalari","App\Filament\Clusters\Muhasebe\Pages\GidenIadeFaturasiSayfasi","200","2006,72","2006,72","2006,72","159551","http://localhost/yalova-kamera/admin/muhasebe/faturalar/giden-iade-faturalari",
"130","muhasebe","admin/muhasebe/cari-yonetimi/cari-hareketleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-hareketleri","App\Filament\Clusters\Muhasebe\Pages\CariHareketleriSayfasi","200","2006,02","2006,02","2006,02","162324","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-hareketleri",
"131","muhasebe","admin/muhasebe/faturalar/gelen-faturalar","filament.admin.muhasebe.pages.faturalar.gelen-faturalar","App\Filament\Clusters\Muhasebe\Pages\GelenFatura","200","2005,16","2005,16","2005,16","159492","http://localhost/yalova-kamera/admin/muhasebe/faturalar/gelen-faturalar",
"132","teknik-servis","admin/teknik-servis/ayarlar/genel-ayarlar","filament.admin.teknik-servis.pages.ayarlar.genel-ayarlar","App\Filament\Clusters\TeknikServis\Pages\GenelAyarlar","200","2003,15","2003,15","2003,15","111991","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/genel-ayarlar",
"133","muhasebe","admin/muhasebe/tanimlar/stok-turleri","filament.admin.muhasebe.pages.tanimlar.stok-turleri","App\Filament\Clusters\Muhasebe\Pages\StokTuruTanimlariSayfasi","200","2001,2","2001,2","2001,2","112151","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/stok-turleri",
"134","web","admin/web/web-ayarlar/mail-sablonlari","filament.admin.web.pages.web-ayarlar.mail-sablonlari","App\Filament\Clusters\Web\Pages\WebMailSablonlari","200","2001","2001","2001","193750","http://localhost/yalova-kamera/admin/web/web-ayarlar/mail-sablonlari",
"135","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\ListTeknikServisAksesuarlari","200","2000,45","2000,45","2000,45","295333","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar",
"136","personel-takip","admin/personel-takip/tanimlar/departmanlar","filament.admin.personel-takip.resources.tanimlar.departmanlar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\ListPersonelDepartmanlari","200","1998,36","1998,36","1998,36","195648","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar",
