"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","bytes","final_url","error"
"257","teknik-servis","admin/teknik-servis/raporlar/tahsilat-servis","filament.admin.teknik-servis.pages.raporlar.tahsilat-servis","App\Filament\Clusters\TeknikServis\Pages\TeknikServisTahsilatServisRaporuSayfasi","200","1781,43","1781,43","1781,43","112229","http://localhost/yalova-kamera/admin/teknik-servis/raporlar/tahsilat-servis",
"258","sistem-firmalar","admin/sistem-firmalar/create","filament.admin.resources.sistem-firmalar.create","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaOlustur","200","1779,33","1779,33","1779,33","158238","http://localhost/yalova-kamera/admin/sistem-firmalar/create",
"259","muhasebe","admin/muhasebe/tanimlar/stok-modelleri/create","filament.admin.muhasebe.resources.tanimlar.stok-modelleri.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeStokModeliTanimKaynagi\Pages\CreateMuhasebeStokModeli","200","1778,58","1778,58","1778,58","150596","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/stok-modelleri/create",
"260","sistem-kullanicilar","admin/sistem-kullanicilar/create","filament.admin.resources.sistem-kullanicilar.create","App\Filament\Resources\UserResource\Pages\CreateUser","200","1775,86","1775,86","1775,86","140838","http://localhost/yalova-kamera/admin/sistem-kullanicilar/create",
"261","teknik-servis","admin/teknik-servis/cihaz-kayit/arizali-cihazlar","filament.admin.teknik-servis.pages.cihaz-kayit.arizali-cihazlar","App\Filament\Clusters\TeknikServis\Pages\ArizaliCihazlar","200","1773,92","1773,92","1773,92","112039","http://localhost/yalova-kamera/admin/teknik-servis/cihaz-kayit/arizali-cihazlar",
"262","muhasebe","admin/muhasebe/tanimlar/marka-ureticileri/create","filament.admin.muhasebe.resources.tanimlar.marka-ureticileri.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeMarkaUreticiTanimKaynagi\Pages\CreateMuhasebeMarkaUretici","200","1772,42","1772,42","1772,42","144982","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/marka-ureticileri/create",
"263","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar/create","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.create","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\CreateTeknikServisAksesuar","200","1769,61","1769,61","1769,61","140810","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar/create",
"264","teklif-yonetimi","admin/teklif-yonetimi","filament.admin.teklif-yonetimi","App\Filament\Clusters\TeklifYonetimi","200","1769,36","1769,36","1769,36","110960","http://localhost/yalova-kamera/admin/teklif-yonetimi",
"265","muhasebe","admin/muhasebe/tanimlar/birimler/create","filament.admin.muhasebe.resources.tanimlar.birimler.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\CreateBirim","200","1767,63","1767,63","1767,63","144860","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler/create",
"266","muhasebe","admin/muhasebe/tanimlar/varyantlar/create","filament.admin.muhasebe.resources.tanimlar.varyantlar.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeVaryantTanimKaynagi\Pages\CreateMuhasebeVaryant","200","1764,84","1764,84","1764,84","144902","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/varyantlar/create",
