"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3396,9","3396,9","3396,9","3396.9","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"2","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","3349,73","3349,73","3349,73","3349.73","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"3","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","2670,49","2670,49","2670,49","2670.49","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"4","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2668,77","2668,77","2668,77","2668.77","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"5","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","2657,14","2657,14","2657,14","2657.14","163646","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"6","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2629,74","2629,74","2629,74","2629.74","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"7","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2488,71","2488,71","2488,71","2488.71","176742","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"8","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","2414,84","2414,84","2414,84","2414.84","126101","http://localhost/yalova-kamera/admin/restoran/mutfak",
"9","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","2362,14","2362,14","2362,14","2362.14","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"10","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","2345","2345","2345","2345","117696","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"11","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2324,5","2324,5","2324,5","2324.5","242080","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"12","restoran","admin/restoran/raporlar/genel","filament.admin.restoran.pages.raporlar.genel","App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi","200","2205,3","2205,3","2205,3","2205.3","129547","http://localhost/yalova-kamera/admin/restoran/raporlar/genel",
"13","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/bakim","filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi","200","2162,41","2162,41","2162,41","2162.41","232655","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/bakim",
"14","web","admin/web/sayfalar/hakkimizda","filament.admin.web.pages.sayfalar.hakkimizda","App\Filament\Clusters\Web\Pages\Hakkimizda","200","2154,05","2154,05","2154,05","2154.05","175772","http://localhost/yalova-kamera/admin/web/sayfalar/hakkimizda",
