"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","3825,86","3825,86","3825,86","3825.86","242796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"2","firma-kullanici-gruplari","admin/firma-kullanici-gruplari/1/edit","admin/firma-kullanici-gruplari/{record}/edit","filament.admin.resources.firma-kullanici-gruplari.edit","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\EditFirmaKullaniciGrubu","App\Models\Rol","1","404","2862,24","2862,24","2862,24","2862.24","0","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari/1/edit","Uzak sunucu hata döndürdü: (404) Bulunamadı."
"3","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","2761,62","2761,62","2761,62","2761.62","316865","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"4","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/edit","admin/teklif-yonetimi/sablonlar/{record}/edit","filament.admin.teklif-yonetimi.resources.sablonlar.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\EditTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","2692,66","2692,66","2692,66","2692.66","184474","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/edit",
"5","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","2276,25","2276,25","2276,25","2276.25","347784","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"6","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","2082,18","2082,18","2082,18","2082.18","165066","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"7","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","1994,99","1994,99","1994,99","1994.99","437545","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"8","muhasebe","admin/muhasebe/finans/poslar/1","admin/muhasebe/finans/poslar/{record}","filament.admin.muhasebe.resources.finans.poslar.view","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ViewPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","1993,82","1993,82","1993,82","1993.82","188130","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1",
"9","muhasebe","admin/muhasebe/finans/banka-hesaplari/1","admin/muhasebe/finans/banka-hesaplari/{record}","filament.admin.muhasebe.resources.finans.banka-hesaplari.view","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ViewBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","1989,84","1989,84","1989,84","1989.84","165297","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1",
"10","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari/1/edit","admin/personel-takip/tanimlar/vardiya-sablonlari/{record}/edit","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\EditPersonelVardiyaSablonu","App\Models\Personel\PersonelVardiyaSablonu","1","200","1930,86","1930,86","1930,86","1930.86","153403","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari/1/edit",
"11","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","1820,97","1820,97","1820,97","1820.97","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
"12","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/preview","admin/teklif-yonetimi/sablonlar/{record}/preview","filament.admin.teklif-yonetimi.resources.sablonlar.preview","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\PreviewTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","1804,82","1804,82","1804,82","1804.82","162414","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/preview",
"13","muhasebe","admin/muhasebe/finans/kasa-hesaplari/1","admin/muhasebe/finans/kasa-hesaplari/{record}","filament.admin.muhasebe.resources.finans.kasa-hesaplari.view","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\ViewKasaHesabi","App\Models\Muhasebe\KasaHesabi","1","200","1797,48","1797,48","1797,48","1797.48","156353","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari/1",
"14","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","1794,89","1794,89","1794,89","1794.89","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"15","personel-takip","admin/personel-takip/personeller/1/edit","admin/personel-takip/personeller/{record}/edit","filament.admin.personel-takip.resources.personeller.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\EditPersonel","App\Models\Personel\Personel","1","200","1752,09","1752,09","1752,09","1752.09","222845","http://localhost/yalova-kamera/admin/personel-takip/personeller/1/edit",
"16","muhasebe","admin/muhasebe/tanimlar/markalar/1/edit","admin/muhasebe/tanimlar/markalar/{record}/edit","filament.admin.muhasebe.resources.tanimlar.markalar.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeMarkaTanimKaynagi\Pages\EditMuhasebeMarka","App\Models\Muhasebe\MuhasebeMarka","1","200","1724,35","1724,35","1724,35","1724.35","143364","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/markalar/1/edit",
"17","sistem-moduller","admin/sistem-moduller/1/edit","admin/sistem-moduller/{record}/edit","filament.admin.resources.sistem-moduller.edit","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulDuzenle","App\Models\Modul","1","200","1719,63","1719,63","1719,63","1719.63","133895","http://localhost/yalova-kamera/admin/sistem-moduller/1/edit",
"18","teknik-servis","admin/teknik-servis/tanimlar/arizalar/1/edit","admin/teknik-servis/tanimlar/arizalar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.arizalar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisArizaKaynagi\Pages\EditTeknikServisArizasi","App\Models\TeknikServis\TeknikServisArizaTanimi","1","200","1717,34","1717,34","1717,34","1717.34","148779","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/arizalar/1/edit",
"19","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1/edit","admin/muhasebe/cari-yonetimi/cariler/{record}/edit","filament.admin.muhasebe.resources.cari-yonetimi.cariler.edit","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\EditCari","App\Models\Muhasebe\Cari","1","200","1716,21","1716,21","1716,21","1716.21","212183","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1/edit",
"20","sistem-firmalar","admin/sistem-firmalar/1/edit","admin/sistem-firmalar/{record}/edit","filament.admin.resources.sistem-firmalar.edit","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaDuzenle","App\Models\Firma","1","200","1711,01","1711,01","1711,01","1711.01","158659","http://localhost/yalova-kamera/admin/sistem-firmalar/1/edit",
"21","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar/1/edit","admin/teknik-servis/tanimlar/aksesuarlar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\EditTeknikServisAksesuar","App\Models\TeknikServis\TeknikServisAksesuarTanimi","1","200","1709,07","1709,07","1709,07","1709.07","141744","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar/1/edit",
"22","muhasebe","admin/muhasebe/finans/poslar/1/edit","admin/muhasebe/finans/poslar/{record}/edit","filament.admin.muhasebe.resources.finans.poslar.edit","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\EditPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","1705,25","1705,25","1705,25","1705.25","220921","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1/edit",
"23","personel-takip","admin/personel-takip/tanimlar/gorevler/1/edit","admin/personel-takip/tanimlar/gorevler/{record}/edit","filament.admin.personel-takip.resources.tanimlar.gorevler.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelGorevKaynagi\Pages\EditPersonelGorev","App\Models\Personel\PersonelGorevi","1","200","1696,15","1696,15","1696,15","1696.15","154123","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/gorevler/1/edit",
"24","sistem-planlar","admin/sistem-planlar/1/edit","admin/sistem-planlar/{record}/edit","filament.admin.resources.sistem-planlar.edit","App\Filament\Resources\PlanYonetimKaynagi\Pages\PlanDuzenle","App\Models\Plan","1","200","1693,65","1693,65","1693,65","1693.65","144828","http://localhost/yalova-kamera/admin/sistem-planlar/1/edit",
"25","sistem-yetkiler","admin/sistem-yetkiler/1/edit","admin/sistem-yetkiler/{record}/edit","filament.admin.resources.sistem-yetkiler.edit","App\Filament\Resources\YetkiYonetimKaynagi\Pages\YetkiDuzenle","App\Models\Yetki","1","200","1692,41","1692,41","1692,41","1692.41","137088","http://localhost/yalova-kamera/admin/sistem-yetkiler/1/edit",
"26","muhasebe","admin/muhasebe/tanimlar/birimler/1/edit","admin/muhasebe/tanimlar/birimler/{record}/edit","filament.admin.muhasebe.resources.tanimlar.birimler.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\EditBirim","App\Models\Muhasebe\Birim","1","200","1689,03","1689,03","1689,03","1689.03","137679","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler/1/edit",
"27","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari/1/edit","admin/muhasebe/tanimlar/doviz-kurlari/{record}/edit","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\EditDovizKuru","App\Models\Muhasebe\DovizKuru","1","200","1688,95","1688,95","1688,95","1688.95","175708","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari/1/edit",
"28","teknik-servis","admin/teknik-servis/tanimlar/markalar/1/edit","admin/teknik-servis/tanimlar/markalar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.markalar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisMarkaKaynagi\Pages\EditTeknikServisMarkasi","App\Models\TeknikServis\TeknikServisMarkaTanimi","1","200","1688,87","1688,87","1688,87","1688.87","141696","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/markalar/1/edit",
"29","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1","admin/muhasebe/cari-yonetimi/cariler/{record}","filament.admin.muhasebe.resources.cari-yonetimi.cariler.view","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ViewCari","App\Models\Muhasebe\Cari","1","200","1682","1682","1682","1682","127128","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1",
"30","sistem-kullanicilar","admin/sistem-kullanicilar/1/edit","admin/sistem-kullanicilar/{record}/edit","filament.admin.resources.sistem-kullanicilar.edit","App\Filament\Resources\UserResource\Pages\EditUser","App\Models\User","1","200","1681,28","1681,28","1681,28","1681.28","143006","http://localhost/yalova-kamera/admin/sistem-kullanicilar/1/edit",
"31","muhasebe","admin/muhasebe/finans/kasa-hesaplari/1/edit","admin/muhasebe/finans/kasa-hesaplari/{record}/edit","filament.admin.muhasebe.resources.finans.kasa-hesaplari.edit","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\EditKasaHesabi","App\Models\Muhasebe\KasaHesabi","1","200","1677,32","1677,32","1677,32","1677.32","163661","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari/1/edit",
"32","sistem-roller","admin/sistem-roller/1","admin/sistem-roller/{record}","filament.admin.resources.sistem-roller.view","App\Filament\Resources\RoleResource\Pages\ViewRole","App\Models\Rol","1","200","1676,68","1676,68","1676,68","1676.68","138228","http://localhost/yalova-kamera/admin/sistem-roller/1",
"33","teknik-servis","admin/teknik-servis/tanimlar/cihazlar/1/edit","admin/teknik-servis/tanimlar/cihazlar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.cihazlar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\EditTeknikServisCihazi","App\Models\TeknikServis\TeknikServisCihazTanimi","1","200","1672,74","1672,74","1672,74","1672.74","141723","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar/1/edit",
"34","web","admin/web/urunler/urun-kategorileri/1/edit","admin/web/urunler/urun-kategorileri/{record}/edit","filament.admin.web.resources.urunler.urun-kategorileri.edit","App\Filament\Clusters\Web\Resources\UrunKategoriKaynagi\Pages\EditUrunKategorisi","App\Models\Muhasebe\StokKategorisi","1","200","1671,34","1671,34","1671,34","1671.34","154895","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri/1/edit",
"35","muhasebe","admin/muhasebe/tanimlar/vergi-oranlari/1/edit","admin/muhasebe/tanimlar/vergi-oranlari/{record}/edit","filament.admin.muhasebe.resources.tanimlar.vergi-oranlari.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\VergiOraniTanimKaynagi\Pages\EditVergiOrani","App\Models\Muhasebe\VergiOrani","1","200","1666,16","1666,16","1666,16","1666.16","141226","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/vergi-oranlari/1/edit",
"36","sistem-roller","admin/sistem-roller/1/edit","admin/sistem-roller/{record}/edit","filament.admin.resources.sistem-roller.edit","App\Filament\Resources\RoleResource\Pages\EditRole","App\Models\Rol","1","200","1665,12","1665,12","1665,12","1665.12","147125","http://localhost/yalova-kamera/admin/sistem-roller/1/edit",
"37","muhasebe","admin/muhasebe/finans/banka-hesaplari/1/edit","admin/muhasebe/finans/banka-hesaplari/{record}/edit","filament.admin.muhasebe.resources.finans.banka-hesaplari.edit","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\EditBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","1659,6","1659,6","1659,6","1659.6","175485","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1/edit",
