"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","personel-takip","admin/personel-takip/avanslar","filament.admin.personel-takip.resources.avanslar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\ListPersonelAvanslari","200","2192,98","2192,98","2192,98","2192.98","159956","http://localhost/yalova-kamera/admin/personel-takip/avanslar",
"2","personel-takip","admin/personel-takip/vardiyalar","filament.admin.personel-takip.resources.vardiyalar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaKaynagi\Pages\ListPersonelVardiyalari","200","2158,81","2158,81","2158,81","2158.81","162355","http://localhost/yalova-kamera/admin/personel-takip/vardiyalar",
"3","personel-takip","admin/personel-takip/giris-cikis/create","filament.admin.personel-takip.resources.giris-cikis.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelGirisCikisKaynagi\Pages\CreatePersonelGirisCikis","200","2146,57","2146,57","2146,57","2146.57","180029","http://localhost/yalova-kamera/admin/personel-takip/giris-cikis/create",
"4","personel-takip","admin/personel-takip/personeller/create","filament.admin.personel-takip.resources.personeller.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\CreatePersonel","200","2143,62","2143,62","2143,62","2143.62","215868","http://localhost/yalova-kamera/admin/personel-takip/personeller/create",
"5","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/bakim","filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi","200","2141,66","2141,66","2141,66","2141.66","232655","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/bakim",
"6","restoran","admin/restoran/qr-menu/kategoriler","filament.admin.restoran.resources.qr-menu.kategoriler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuKategoriKaynagi\Pages\ListRestoranMenuKategorileri","200","2140,89","2140,89","2140,89","2140.89","162325","http://localhost/yalova-kamera/admin/restoran/qr-menu/kategoriler",
"7","personel-takip","admin/personel-takip/avanslar/create","filament.admin.personel-takip.resources.avanslar.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\CreatePersonelAvans","200","2131","2131","2131","2131","162627","http://localhost/yalova-kamera/admin/personel-takip/avanslar/create",
"8","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2128,29","2128,29","2128,29","2128.29","242080","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"9","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","2127,11","2127,11","2127,11","2127.11","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"10","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","2124,09","2124,09","2124,09","2124.09","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
