"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"201","teknik-servis","admin/teknik-servis/sablonlar/talep-formu","filament.admin.teknik-servis.pages.sablonlar.talep-formu","App\Filament\Clusters\TeknikServis\Pages\ServisTalepFormuSablonuSayfasi","200","361,9","345,35","378,45","378,45|345,35","166482","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/talep-formu",
"202","teklif-yonetimi","admin/teklif-yonetimi/sablonlar","filament.admin.teklif-yonetimi.resources.sablonlar.index","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\ListTeklifSablonlari","200","361,89","345,73","378,05","378,05|345,73","140682","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar",
"203","muhasebe","admin/muhasebe/stok/stok-kategorileri/create","filament.admin.muhasebe.resources.stok.stok-kategorileri.create","App\Filament\Clusters\Muhasebe\Resources\StokKategoriKaynagi\Pages\CreateStokKategorisi","200","360,65","357,66","363,63","357,66|363,63","154961","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-kategorileri/create",
"204","teknik-servis","admin/teknik-servis/operasyon/garantili-cihazlar","filament.admin.teknik-servis.pages.operasyon.garantili-cihazlar","App\Filament\Clusters\TeknikServis\Pages\GarantiliCihazlarSayfasi","200","358,59","352,68","364,49","364,49|352,68","141927","http://localhost/yalova-kamera/admin/teknik-servis/operasyon/garantili-cihazlar",
"205","personel-takip","admin/personel-takip/ayarlar","filament.admin.personel-takip.pages.ayarlar","App\Filament\Clusters\PersonelTakip\Pages\PersonelAyarlariSayfasi","200","358,51","357,47","359,54","359,54|357,47","138192","http://localhost/yalova-kamera/admin/personel-takip/ayarlar",
"206","personel-takip","admin/personel-takip/tanimlar/gorevler/create","filament.admin.personel-takip.resources.tanimlar.gorevler.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelGorevKaynagi\Pages\CreatePersonelGorev","200","357,68","350,21","365,15","365,15|350,21","153169","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/gorevler/create",
"207","teknik-servis","admin/teknik-servis/sablonlar/teslim-belgesi","filament.admin.teknik-servis.pages.sablonlar.teslim-belgesi","App\Filament\Clusters\TeknikServis\Pages\TeslimEdildiBelgesiSablonuSayfasi","200","357,06","352,1","362,02","352,1|362,02","166530","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/teslim-belgesi",
"208","web","admin/web/web-ayarlar/web-api-ayarlar","filament.admin.web.pages.web-ayarlar.web-api-ayarlar","App\Filament\Clusters\Web\Pages\WebApiAyarlar","200","357,05","348,21","365,89","365,89|348,21","140849","http://localhost/yalova-kamera/admin/web/web-ayarlar/web-api-ayarlar",
"209","personel-takip","admin/personel-takip/tanimlar/departmanlar/create","filament.admin.personel-takip.resources.tanimlar.departmanlar.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\CreatePersonelDepartman","200","356,98","355,1","358,87","358,87|355,1","144895","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar/create",
"210","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","356,67","349,6","363,73","363,73|349,6","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
