"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","594,92","569,69","620,15","620,15|569,69","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","556,75","543,71","569,79","569,79|543,71","186779","http://localhost/yalova-kamera/admin/siparisler",
"3","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","555,26","550,06","560,46","550,06|560,46","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"4","sistem-kullanicilar","admin/sistem-kullanicilar","filament.admin.resources.sistem-kullanicilar.index","App\Filament\Resources\UserResource\Pages\ListUsers","200","537,81","528,48","547,14","547,14|528,48","159134","http://localhost/yalova-kamera/admin/sistem-kullanicilar",
"5","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","537,26","520,08","554,44","554,44|520,08","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"6","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","534,74","520,98","548,5","548,5|520,98","178344","http://localhost/yalova-kamera/admin/sistem-firmalar",
"7","restoran","admin/restoran/qr-menu/receteler","filament.admin.restoran.resources.qr-menu.receteler.index","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\ListRestoranReceteleri","200","529,81","488,85","570,78","570,78|488,85","162370","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler",
"8","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","526,5","518,59","534,42","534,42|518,59","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"9","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","524,67","490,28","559,06","559,06|490,28","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"10","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","517,47","503,69","531,25","531,25|503,69","184887","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"11","sistem-roller","admin/sistem-roller","filament.admin.resources.sistem-roller.index","App\Filament\Resources\RoleResource\Pages\ListRoles","200","513,7","496,04","531,36","531,36|496,04","140128","http://localhost/yalova-kamera/admin/sistem-roller",
"12","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","513,33","498,23","528,43","498,23|528,43","167841","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"13","muhasebe","admin/muhasebe/satis/banka-satis","filament.admin.muhasebe.pages.satis.banka-satis","App\Filament\Clusters\Muhasebe\Pages\BankaSatis","200","512,75","499,31","526,18","526,18|499,31","165098","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"14","product-categories","admin/product-categories","filament.admin.resources.product-categories.index","App\Filament\Resources\ProductCategoryResource\Pages\ListProductCategories","200","512,45","506,56","518,34","518,34|506,56","165230","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri",
