"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","6009,06","6009,06","6009,06","6009.06","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3207,74","3207,74","3207,74","3207.74","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"3","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2951,14","2951,14","2951,14","2951.14","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"4","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","2623,39","2623,39","2623,39","2623.39","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"5","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","2569,85","2569,85","2569,85","2569.85","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"6","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2549,06","2549,06","2549,06","2549.06","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"7","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2537,08","2537,08","2537,08","2537.08","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"8","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2401,34","2401,34","2401,34","2401.34","176742","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"9","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","2361,63","2361,63","2361,63","2361.63","126101","http://localhost/yalova-kamera/admin/restoran/mutfak",
"10","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","2346,06","2346,06","2346,06","2346.06","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"11","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","2324,85","2324,85","2324,85","2324.85","117696","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"12","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","2310,95","2310,95","2310,95","2310.95","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"13","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","2244,04","2244,04","2244,04","2244.04","124946","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"14","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2233,39","2233,39","2233,39","2233.39","241765","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"15","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","2226,71","2226,71","2226,71","2226.71","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"16","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","2204,33","2204,33","2204,33","2204.33","174926","http://localhost/yalova-kamera/admin/profil",
"17","restoran","admin/restoran/masa-ekrani","filament.admin.restoran.pages.masa-ekrani","App\Filament\Clusters\Restoran\Pages\RestoranMasaEkraniSayfasi","200","2145,19","2145,19","2145,19","2145.19","124456","http://localhost/yalova-kamera/admin/restoran/masa-ekrani",
"18","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","2143,98","2143,98","2143,98","2143.98","128371","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
"19","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","2130,51","2130,51","2130,51","2130.51","157267","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"20","muhasebe","admin/muhasebe/satis/barkod-esleme-listesi","filament.admin.muhasebe.pages.satis.barkod-esleme-listesi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisBarkodListesiSayfasi","200","2092,52","2092,52","2092,52","2092.52","151675","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-esleme-listesi",
