"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","9789,84","9789,84","9789,84","9789.84","181334","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"2","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","6209,82","6209,82","6209,82","6209.82","220572","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"3","teknik-servis","admin/teknik-servis/tanimlar/cihazlar","filament.admin.teknik-servis.resources.tanimlar.cihazlar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\ListTeknikServisCihazlari","200","6060,39","6060,39","6060,39","6060.39","295606","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar",
"4","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","5633,36","5633,36","5633,36","5633.36","117695","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"5","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","5611,61","5611,61","5611,61","5611.61","400081","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"6","teknik-servis","admin/teknik-servis/tanimlar/arizalar","filament.admin.teknik-servis.resources.tanimlar.arizalar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisArizaKaynagi\Pages\ListTeknikServisArizalari","200","5450","5450","5450","5450","320778","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/arizalar",
"7","restoran","admin/restoran/raporlar/genel","filament.admin.restoran.pages.raporlar.genel","App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi","200","5434,56","5434,56","5434,56","5434.56","129546","http://localhost/yalova-kamera/admin/restoran/raporlar/genel",
"8","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","5404,65","5404,65","5404,65","5404.65","325901","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"9","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","5356,21","5356,21","5356,21","5356.21","232126","http://localhost/yalova-kamera/admin/profil",
"10","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","5230,04","5230,04","5230,04","5230.04","229291","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"11","muhasebe","admin/muhasebe/fatura-kaynagis/create","filament.admin.muhasebe.resources.fatura-kaynagis.create","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateFatura","200","5094,25","5094,25","5094,25","5094.25","287482","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create",
"12","teknik-servis","admin/teknik-servis/tanimlar/cihazlar/create","filament.admin.teknik-servis.resources.tanimlar.cihazlar.create","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\CreateTeknikServisCihazi","200","5082,15","5082,15","5082,15","5082.15","140775","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar/create",
"13","restoran","admin/restoran/qr-menu/urunler/create","filament.admin.restoran.resources.qr-menu.urunler.create","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\CreateRestoranMenuUrun","200","5013,88","5013,88","5013,88","5013.88","166471","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler/create",
"14","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","4879,85","4879,85","4879,85","4879.85","130034","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"15","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","4861,91","4861,91","4861,91","4861.91","128370","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
