"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","552,44","472,7","598,97","585,63|598,97|472,7","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","500,94","433,6","541,76","541,76|527,47|433,6","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"3","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","499,68","376,42","617,87","617,87|504,74|376,42","159540","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"4","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","498,11","409,69","566,67","566,67|517,96|409,69","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"5","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","495,79","416,61","547,84","522,9|547,84|416,61","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"6","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","492,75","479,37","512,21","479,37|512,21|486,68","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"7","web","admin/web/web-moduller/ucuncu-grup/referanslar","filament.admin.web.pages.web-moduller.ucuncu-grup.referanslar","App\Filament\Clusters\Web\Pages\ModulReferanslar","200","491,49","436,41","523,18","514,88|523,18|436,41","228360","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/referanslar",
"8","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","490,85","400,69","542,03","529,84|542,03|400,69","178344","http://localhost/yalova-kamera/admin/sistem-firmalar",
"9","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","488,09","418,84","543,17","543,17|502,25|418,84","184887","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"10","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","486,99","417,98","523,08","519,9|523,08|417,98","160723","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
