"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/create","filament.admin.teklif-yonetimi.resources.sablonlar.create","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\CreateTeklifSablonu","200","2551,91","1687,57","4264,72","4264,72|1687,57|1703,45","181351","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/create",
"2","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","2448,48","1718,03","3877,46","3877,46|1749,95|1718,03","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"3","firma-kullanici-gruplari","admin/firma-kullanici-gruplari","filament.admin.resources.firma-kullanici-gruplari.index","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\ListFirmaKullaniciGruplari","200","2265,29","1670,4","3404,3","3404,3|1670,4|1721,18","163303","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari",
"4","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","2202,84","1690,5","3217,63","3217,63|1700,4|1690,5","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"5","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2149,22","1911,97","2554,27","2554,27|1981,44|1911,97","255201","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"6","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2143,03","1753,4","2860,54","2860,54|1753,4|1815,17","229292","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"7","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","2063,99","1735,39","2650,77","2650,77|1805,83|1735,39","241793","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"8","muhasebe","admin/muhasebe/cari-yonetimi/cari-ekstreleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-ekstreleri","App\Filament\Clusters\Muhasebe\Pages\CariEkstreSayfasi","200","2058,56","1694,89","2548,85","2548,85|1694,89|1931,94","148553","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-ekstreleri",
"9","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2039,57","1709,03","2681,93","2681,93|1727,76|1709,03","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"10","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2021,38","1573,98","2901,04","2901,04|1589,12|1573,98","118427","http://localhost/yalova-kamera/admin/restoran",
"11","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","1983,97","1782,25","2104,06","2065,61|1782,25|2104,06","124185","http://localhost/yalova-kamera/admin/restoran/mutfak",
"12","muhasebe","admin/muhasebe/stok/stok-hareketleri","filament.admin.muhasebe.pages.stok.stok-hareketleri","App\Filament\Clusters\Muhasebe\Pages\StokHareketleriSayfasi","200","1964,22","1783,3","2125,94","2125,94|1983,43|1783,3","328607","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-hareketleri",
"13","products","admin/products/create","filament.admin.resources.products.create","App\Filament\Resources\ProductResource\Pages\CreateProduct","200","1963,38","1841,43","2203,71","2203,71|1845,01|1841,43","340932","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"14","personel-takip","admin/personel-takip/izinler/create","filament.admin.personel-takip.resources.izinler.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\CreatePersonelIzin","200","1958,98","1638,28","2569,27","2569,27|1669,4|1638,28","164453","http://localhost/yalova-kamera/admin/personel-takip/izinler/create",
"15","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","1949,78","1616,55","2587,48","2587,48|1616,55|1645,32","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"16","muhasebe","admin/muhasebe/sistem-olaylari","filament.admin.muhasebe.pages.sistem-olaylari","App\Filament\Clusters\Muhasebe\Pages\SistemOlaylariSayfasi","200","1939,98","1787,38","2061,22","1971,34|2061,22|1787,38","310221","http://localhost/yalova-kamera/admin/muhasebe/sistem-olaylari",
"17","muhasebe","admin/muhasebe/finans/odeme-olustur","filament.admin.muhasebe.pages.finans.odeme-olustur","App\Filament\Clusters\Muhasebe\Pages\OdemeOlusturSayfasi","200","1924,38","1682,75","2404,14","2404,14|1686,26|1682,75","173978","http://localhost/yalova-kamera/admin/muhasebe/finans/odeme-olustur",
"18","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","1921,12","1674,23","2373,56","2373,56|1715,58|1674,23","232128","http://localhost/yalova-kamera/admin/profil",
"19","web","admin/web/web-ayarlar/menu-ayarlari/menu-duzenleme","filament.admin.web.pages.web-ayarlar.menu-ayarlari.menu-duzenleme","App\Filament\Clusters\Web\Pages\ModulMenu","200","1916,33","1865,84","1988,68","1988,68|1894,46|1865,84","358426","http://localhost/yalova-kamera/admin/web/web-ayarlar/menu-ayarlari/menu-duzenleme",
"20","sistem-roller","admin/sistem-roller","filament.admin.resources.sistem-roller.index","App\Filament\Resources\RoleResource\Pages\ListRoles","200","1914,25","1874,7","1945,17","1874,7|1922,89|1945,17","298913","http://localhost/yalova-kamera/admin/sistem-roller",
"21","muhasebe","admin/muhasebe/satis/barkodlu-satis-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisGecmisiSayfasi","200","1897,75","1759,41","2009,36","1924,47|2009,36|1759,41","208269","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-gecmisi",
"22","web","admin/web/urunler/urun-listesi/create","filament.admin.web.resources.urunler.urun-listesi.create","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\CreateUrun","200","1890,14","1865,52","1931,62","1931,62|1873,28|1865,52","340932","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"23","teknik-servis","admin/teknik-servis/sablonlar/whatsapp-sablonlari","filament.admin.teknik-servis.pages.sablonlar.whatsapp-sablonlari","App\Filament\Clusters\TeknikServis\Pages\WhatsappSablonlariSayfasi","200","1889,68","1834,6","1975,14","1975,14|1834,6|1859,3","186146","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/whatsapp-sablonlari",
"24","muhasebe","admin/muhasebe/finans/kasa-hesaplari","filament.admin.muhasebe.resources.finans.kasa-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\ListKasaHesaplari","200","1882,22","1845,48","1900,74","1845,48|1900,44|1900,74","267969","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari",
"25","muhasebe","admin/muhasebe/finans/bankalar","filament.admin.muhasebe.pages.finans.bankalar","App\Filament\Clusters\Muhasebe\Pages\Bankalar","200","1873,92","1820,36","1953,86","1953,86|1847,55|1820,36","288582","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari",
"26","web","admin/web/servisler/web-servis-listesi","filament.admin.web.pages.servisler.web-servis-listesi","App\Filament\Clusters\Web\Pages\WebServisListesi","200","1873,85","1793,98","2000,27","2000,27|1793,98|1827,3","328836","http://localhost/yalova-kamera/admin/web/servisler/web-servis-listesi",
"27","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","1868,57","1790,31","1994,8","1994,8|1820,58|1790,31","382356","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"28","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","1866,97","1580,35","2144,37","2144,37|1876,2|1580,35","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"29","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","1863,16","1601,04","2370,78","2370,78|1617,65|1601,04","117696","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"30","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\ListPersonelVardiyaSablonlari","200","1861,35","1729,26","2090,96","2090,96|1729,26|1763,82","203672","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari",
"31","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","1856,74","1602,08","2299,46","2299,46|1668,68|1602,08","128371","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
"32","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","1856,55","1808,83","1899,8","1861,03|1899,8|1808,83","261313","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"33","muhasebe","admin/muhasebe/finans/finans-panel","filament.admin.muhasebe.pages.finans.finans-panel","App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi","200","1856,46","1577,46","2365,98","2365,98|1577,46|1625,94","121492","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-panel",
"34","web","admin/web/projeler/kategoriler","filament.admin.web.pages.projeler.kategoriler","App\Filament\Clusters\Web\Pages\WebProjeKategori","200","1854","1757,17","2009,82","2009,82|1757,17|1795,03","291816","http://localhost/yalova-kamera/admin/web/projeler/kategoriler",
"35","muhasebe","admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi","filament.admin.muhasebe.resources.fatura-kaynagis.createGidenIade","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenIadeFaturasi","200","1853,98","1738,36","2076,52","1747,07|2076,52|1738,36","192872","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/giden-iade-faturasi",
"36","muhasebe","admin/muhasebe/finans/banka-hesaplari","filament.admin.muhasebe.resources.finans.banka-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ListBankaHesaplari","200","1853,12","1829,05","1880,89","1880,89|1829,05|1849,4","288582","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari",
"37","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","1838,31","1782,37","1911,33","1911,33|1782,37|1821,24","294393","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"38","sistem-moduller","admin/sistem-moduller","filament.admin.resources.sistem-moduller.index","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulListesi","200","1838,02","1826,36","1845,6","1842,1|1826,36|1845,6","300379","http://localhost/yalova-kamera/admin/sistem-moduller",
"39","web","admin/web/projeler/liste","filament.admin.web.pages.projeler.liste","App\Filament\Clusters\Web\Pages\WebProje","200","1837,73","1741,32","1995,18","1995,18|1741,32|1776,68","307095","http://localhost/yalova-kamera/admin/web/projeler/liste",
"40","web","admin/web/servisler/web-servis-kategori","filament.admin.web.pages.servisler.web-servis-kategori","App\Filament\Clusters\Web\Pages\WebServisKategori","200","1831,26","1741,8","1954,65","1954,65|1797,34|1741,8","292981","http://localhost/yalova-kamera/admin/web/servisler/web-servis-kategori",
"41","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","1830,69","1603,15","2262,05","2262,05|1603,15|1626,86","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"42","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","1830,6","1626,89","2166,3","2166,3|1698,6|1626,89","122123","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"43","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","1822,34","1638,72","2163,79","2163,79|1638,72|1664,52","157267","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"44","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","1821,54","1633,2","2095,45","2095,45|1633,2|1735,96","167541","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"45","teknik-servis","admin/teknik-servis/ayarlar/telegram","filament.admin.teknik-servis.pages.ayarlar.telegram","App\Filament\Clusters\TeknikServis\Pages\TelegramSayfasi","200","1821,37","1654,53","1936,53","1873,07|1936,53|1654,53","141968","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/telegram",
"46","muhasebe","admin/muhasebe/satis/banka-satis","filament.admin.muhasebe.pages.satis.banka-satis","App\Filament\Clusters\Muhasebe\Pages\BankaSatis","200","1818,65","1651,82","2045","1759,12|2045|1651,82","165098","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-hareketleri",
"47","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","1818,58","1787,76","1849,11","1849,11|1818,87|1787,76","284325","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"48","muhasebe","admin/muhasebe/finans/kasalar","filament.admin.muhasebe.pages.finans.kasalar","App\Filament\Clusters\Muhasebe\Pages\Kasalar","200","1817,82","1814,91","1821,55","1821,55|1814,91|1816,99","267969","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari",
"49","web","admin/web/web-moduller/ucuncu-grup/faqs","filament.admin.web.pages.web-moduller.ucuncu-grup.faqs","App\Filament\Clusters\Web\Pages\ModulFaqs","200","1813,76","1727,09","1937,42","1937,42|1776,77|1727,09","178726","http://localhost/yalova-kamera/admin/web/web-moduller/ucuncu-grup/faqs",
"50","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari/create","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\CreatePersonelVardiyaSablonu","200","1812,67","1656,78","2004,47","2004,47|1656,78|1776,76","152743","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari/create",
"51","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","1809,7","1564,43","2261,57","2261,57|1564,43|1603,09","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"52","muhasebe","admin/muhasebe/finans/poslar","filament.admin.muhasebe.resources.finans.poslar.index","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ListPosHesaplari","200","1808,64","1716,7","1974,75","1716,7|1734,47|1974,75","174649","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar",
"53","teknik-servis","admin/teknik-servis/operasyon/garantili-cihazlar","filament.admin.teknik-servis.pages.operasyon.garantili-cihazlar","App\Filament\Clusters\TeknikServis\Pages\GarantiliCihazlarSayfasi","200","1806,4","1662,64","2046,32","1710,23|1662,64|2046,32","141944","http://localhost/yalova-kamera/admin/teknik-servis/operasyon/garantili-cihazlar",
"54","muhasebe","admin/muhasebe/fatura-kaynagis","filament.admin.muhasebe.resources.fatura-kaynagis.index","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ListFaturalar","200","1805,28","1687,35","2035,53","1692,96|2035,53|1687,35","159657","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis",
"55","sistem-yetkiler","admin/sistem-yetkiler","filament.admin.resources.sistem-yetkiler.index","App\Filament\Resources\YetkiYonetimKaynagi\Pages\YetkiListesi","200","1805,1","1753,78","1836,84","1824,68|1753,78|1836,84","304823","http://localhost/yalova-kamera/admin/sistem-yetkiler",
"56","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\ListDovizKurlari","200","1804,23","1740,36","1927,23","1927,23|1745,11|1740,36","238530","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari",
"57","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","1801,9","1722,22","1958,01","1958,01|1725,46|1722,22","201343","http://localhost/yalova-kamera/admin/siparisler",
