"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","6011,62","6011,62","6011,62","6011.62","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","muhasebe","admin/muhasebe/stok/kritik-stoklar","filament.admin.muhasebe.pages.stok.kritik-stoklar","App\Filament\Clusters\Muhasebe\Pages\KritikStoklarSayfasi","200","3710,38","3710,38","3710,38","3710.38","192037","http://localhost/yalova-kamera/admin/muhasebe/stok/kritik-stoklar",
"3","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","3411,9","3411,9","3411,9","3411.9","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"4","products","admin/products/create","filament.admin.resources.products.create","App\Filament\Resources\ProductResource\Pages\CreateProduct","200","2989,8","2989,8","2989,8","2989.8","273896","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/create",
"5","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","2820,59","2820,59","2820,59","2820.59","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"6","muhasebe","admin/muhasebe/muhasebe-panel","filament.admin.muhasebe.pages.muhasebe-panel","App\Filament\Clusters\Muhasebe\Pages\MuhasebeDashboardSayfasi","200","2523,8","2523,8","2523,8","2523.8","120319","http://localhost/yalova-kamera/admin/muhasebe/muhasebe-panel",
"7","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","2496,04","2496,04","2496,04","2496.04","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"8","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","2476,73","2476,73","2476,73","2476.73","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"9","restoran","admin/restoran","filament.admin.restoran","App\Filament\Clusters\Restoran","200","2470,94","2470,94","2470,94","2470.94","118427","http://localhost/yalova-kamera/admin/restoran",
"10","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","2411,77","2411,77","2411,77","2411.77","126101","http://localhost/yalova-kamera/admin/restoran/mutfak",
"11","muhasebe","admin/muhasebe/finans/odeme-olustur","filament.admin.muhasebe.pages.finans.odeme-olustur","App\Filament\Clusters\Muhasebe\Pages\OdemeOlusturSayfasi","200","2386,36","2386,36","2386,36","2386.36","173978","http://localhost/yalova-kamera/admin/muhasebe/finans/odeme-olustur",
"12","teknik-servis","admin/teknik-servis/sablonlar/kabul-formu","filament.admin.teknik-servis.pages.sablonlar.kabul-formu","App\Filament\Clusters\TeknikServis\Pages\ServisKabulFormuSablonuSayfasi","200","2385,19","2385,19","2385,19","2385.19","176818","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/kabul-formu",
"13","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","2298,86","2298,86","2298,86","2298.86","117696","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"14","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","2288,85","2288,85","2288,85","2288.85","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
"15","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","2223,41","2223,41","2223,41","2223.41","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"16","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","2194,08","2194,08","2194,08","2194.08","124946","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"17","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","2156,67","2156,67","2156,67","2156.67","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"18","restoran","admin/restoran/raporlar/gun-sonu","filament.admin.restoran.pages.raporlar.gun-sonu","App\Filament\Clusters\Restoran\Pages\RestoranGunSonuMutabakatSayfasi","200","2142,47","2142,47","2142,47","2142.47","128371","http://localhost/yalova-kamera/admin/restoran/raporlar/gun-sonu",
"19","restoran","admin/restoran/masa-ekrani","filament.admin.restoran.pages.masa-ekrani","App\Filament\Clusters\Restoran\Pages\RestoranMasaEkraniSayfasi","200","2140,76","2140,76","2140,76","2140.76","124456","http://localhost/yalova-kamera/admin/restoran/masa-ekrani",
"20","restoran","admin/restoran/raporlar/genel","filament.admin.restoran.pages.raporlar.genel","App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi","200","2115,46","2115,46","2115,46","2115.46","129547","http://localhost/yalova-kamera/admin/restoran/raporlar/genel",
"21","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeGecmisiSayfasi","200","2081,74","2081,74","2081,74","2081.74","174908","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-gecmisi",
"22","muhasebe","admin/muhasebe/satis/barkod-esleme-listesi","filament.admin.muhasebe.pages.satis.barkod-esleme-listesi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisBarkodListesiSayfasi","200","2070,33","2070,33","2070,33","2070.33","151675","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-esleme-listesi",
"23","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","2070,22","2070,22","2070,22","2070.22","181975","http://localhost/yalova-kamera/admin/profil",
"24","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","2061,58","2061,58","2061,58","2061.58","157267","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"25","web","admin/web/projeler/liste","filament.admin.web.pages.projeler.liste","App\Filament\Clusters\Web\Pages\WebProje","200","2046,66","2046,66","2046,66","2046.66","180976","http://localhost/yalova-kamera/admin/web/projeler/liste",
"26","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-fisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-fisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeFisiSayfasi","200","2029,42","2029,42","2029,42","2029.42","114195","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-fisi",
"27","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari/create","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\CreatePersonelVardiyaSablonu","200","2023,03","2023,03","2023,03","2023.03","152608","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari/create",
"28","muhasebe","admin/muhasebe/finans/finans-panel","filament.admin.muhasebe.pages.finans.finans-panel","App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi","200","2017,12","2017,12","2017,12","2017.12","121492","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-panel",
"29","sistem-planlar","admin/sistem-planlar","filament.admin.resources.sistem-planlar.index","App\Filament\Resources\PlanYonetimKaynagi\Pages\PlanListesi","200","2013,91","2013,91","2013,91","2013.91","145113","http://localhost/yalova-kamera/admin/sistem-planlar",
"30","muhasebe","admin/muhasebe/cari-yonetimi/cari-hareketleri","filament.admin.muhasebe.pages.cari-yonetimi.cari-hareketleri","App\Filament\Clusters\Muhasebe\Pages\CariHareketleriSayfasi","200","1994,16","1994,16","1994,16","1994.16","161306","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cari-hareketleri",
"31","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","1966,29","1966,29","1966,29","1966.29","164677","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"32","muhasebe","admin/muhasebe/stok","filament.admin.muhasebe.pages.stok","App\Filament\Clusters\Muhasebe\Pages\Stok","200","1962,54","1962,54","1962,54","1962.54","111840","http://localhost/yalova-kamera/admin/muhasebe/stok",
"33","web","admin/web/servisler/web-servis-listesi","filament.admin.web.pages.servisler.web-servis-listesi","App\Filament\Clusters\Web\Pages\WebServisListesi","200","1960,45","1960,45","1960,45","1960.45","182021","http://localhost/yalova-kamera/admin/web/servisler/web-servis-listesi",
"34","muhasebe","admin/muhasebe/tanimlar/stok-modelleri","filament.admin.muhasebe.resources.tanimlar.stok-modelleri.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeStokModeliTanimKaynagi\Pages\ListMuhasebeStokModelleri","200","1949,35","1949,35","1949,35","1949.35","160804","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/stok-modelleri",
"35","personel-takip","admin/personel-takip/avanslar","filament.admin.personel-takip.resources.avanslar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\ListPersonelAvanslari","200","1948,14","1948,14","1948,14","1948.14","159956","http://localhost/yalova-kamera/admin/personel-takip/avanslar",
"36","teknik-servis","admin/teknik-servis/sablonlar/servis-formu","filament.admin.teknik-servis.pages.sablonlar.servis-formu","App\Filament\Clusters\TeknikServis\Pages\ServisFormuSablonuSayfasi","200","1945,95","1945,95","1945,95","1945.95","146066","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/servis-formu",
"37","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/acik","filament.admin.teknik-servis.resources.servis-kayitlari.acik","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariAcikSayfasi","200","1945,08","1945,08","1945,08","1945.08","145920","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/acik",
"38","web","admin/web/web-ayarlar/mail-sablonlari","filament.admin.web.pages.web-ayarlar.mail-sablonlari","App\Filament\Clusters\Web\Pages\WebMailSablonlari","200","1937,27","1937,27","1937,27","1937.27","193751","http://localhost/yalova-kamera/admin/web/web-ayarlar/mail-sablonlari",
"39","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","1919,37","1919,37","1919,37","1919.37","167841","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"40","teknik-servis","admin/teknik-servis/sablonlar/teslim-belgesi","filament.admin.teknik-servis.pages.sablonlar.teslim-belgesi","App\Filament\Clusters\TeknikServis\Pages\TeslimEdildiBelgesiSablonuSayfasi","200","1913,09","1913,09","1913,09","1913.09","166615","http://localhost/yalova-kamera/admin/teknik-servis/sablonlar/teslim-belgesi",
"41","teknik-servis","admin/teknik-servis/ozet","filament.admin.teknik-servis.pages.ozet","App\Filament\Clusters\TeknikServis\Pages\TeknikServisDashboardSayfasi","200","1901,17","1901,17","1901,17","1901.17","143291","http://localhost/yalova-kamera/admin/teknik-servis/ozet",
