"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","2015,02","1911,15","2209,97","1923,95|2209,97|1911,15","347796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","1969,31","1817,5","2138,34","1952,09|2138,34|1817,5","316886","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"3","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1","admin/muhasebe/cari-yonetimi/cariler/{record}","filament.admin.muhasebe.resources.cari-yonetimi.cariler.view","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ViewCari","App\Models\Muhasebe\Cari","1","200","1961,81","1823,33","2159,37","1902,72|2159,37|1823,33","276420","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1",
