"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","603,2","551,86","641,32","616,42|641,32|551,86","337087","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","web","admin/web/urunler/urun-listesi/9/edit","admin/web/urunler/urun-listesi/{record}/edit","filament.admin.web.resources.urunler.urun-listesi.edit","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\EditUrun","App\Models\Muhasebe\StokKarti","9","200","596,7","591,73","599,92","599,92|598,43|591,73","396038","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9/edit",
"3","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","552,3","477,63","614,56","614,56|564,71|477,63","228848","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"4","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","547,37","495,11","601,62","545,39|601,62|495,11","253206","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"5","siparisler","admin/siparisler/2","admin/siparisler/{record}","filament.admin.resources.siparisler.view","App\Filament\Resources\SiparisKaynagi\Pages\ViewSiparis","App\Models\Ecommerce\Siparis","2","200","545,98","473,14","588,53","576,28|588,53|473,14","220463","http://localhost/yalova-kamera/admin/siparisler/2",
"6","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","538,61","488,13","577,08","550,61|577,08|488,13","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
"7","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","521,07","437,91","569,81","569,81|555,49|437,91","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"8","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","519,65","512,76","524,7","524,7|521,5|512,76","297607","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"9","web","admin/web/urunler/urun-listesi/9","admin/web/urunler/urun-listesi/{record}","filament.admin.web.resources.urunler.urun-listesi.view","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ViewUrun","App\Models\Muhasebe\StokKarti","9","200","518,82","499,75","533,18","533,18|523,53|499,75","260778","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9",
"10","personel-takip","admin/personel-takip/personeller/1/edit","admin/personel-takip/personeller/{record}/edit","filament.admin.personel-takip.resources.personeller.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\EditPersonel","App\Models\Personel\Personel","1","200","516,91","433,74","575,78","575,78|541,21|433,74","222831","http://localhost/yalova-kamera/admin/personel-takip/personeller/1/edit",
