"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","602,26","577,54","632,05","597,2|632,05|577,54","337087","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","web","admin/web/urunler/urun-listesi/9/edit","admin/web/urunler/urun-listesi/{record}/edit","filament.admin.web.resources.urunler.urun-listesi.edit","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\EditUrun","App\Models\Muhasebe\StokKarti","9","200","598,03","591,36","609,8","609,8|591,36|592,93","396038","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9/edit",
"3","web","admin/web/urunler/urun-listesi/9","admin/web/urunler/urun-listesi/{record}","filament.admin.web.resources.urunler.urun-listesi.view","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ViewUrun","App\Models\Muhasebe\StokKarti","9","200","542,81","491,32","571,43","565,69|571,43|491,32","260778","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/9",
"4","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","536,93","478,3","599,02","533,47|599,02|478,3","253206","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"5","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","535,85","463,38","582,98","582,98|561,19|463,38","228848","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"6","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","531,7","524,07","535,87","535,87|524,07|535,16","297607","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"7","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","520,97","432,47","574,89","574,89|555,54|432,47","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
"8","personel-takip","admin/personel-takip/personeller/1/edit","admin/personel-takip/personeller/{record}/edit","filament.admin.personel-takip.resources.personeller.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\EditPersonel","App\Models\Personel\Personel","1","200","512,62","420,5","562,13","562,13|555,23|420,5","222831","http://localhost/yalova-kamera/admin/personel-takip/personeller/1/edit",
"9","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","505,7","403,81","630,4","630,4|482,89|403,81","165132","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"10","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","501,46","476,2","535,85","535,85|492,34|476,2","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
