"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz","filament.admin.teknik-servis.resources.servis-kayitlari.create_arizali","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ArizaliCihazKaydiOlusturSayfasi","200","583,13","574,26","592,01","592,01|574,26","252540","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/arizali-cihaz",
"2","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","537,93","507,1","568,75","568,75|507,1","181750","http://localhost/yalova-kamera/admin/restoran/masalar",
"3","muhasebe","admin/muhasebe/finans/banka-hesaplari","filament.admin.muhasebe.resources.finans.banka-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\ListBankaHesaplari","200","537,15","500,74","573,57","573,57|500,74","166900","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari",
"4","restoran","admin/restoran/qr-menu/urunler","filament.admin.restoran.resources.qr-menu.urunler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\ListRestoranMenuUrunleri","200","534,02","531,95","536,09","531,95|536,09","183088","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler",
"5","siparisler","admin/siparisler","filament.admin.resources.siparisler.index","App\Filament\Resources\SiparisKaynagi\Pages\ListSiparisler","200","526,93","523,92","529,93","523,92|529,93","186779","http://localhost/yalova-kamera/admin/siparisler",
"6","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","525,21","519,62","530,8","530,8|519,62","167841","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"7","restoran","admin/restoran/qr-menu/kategoriler","filament.admin.restoran.resources.qr-menu.kategoriler.index","App\Filament\Clusters\Restoran\Resources\RestoranMenuKategoriKaynagi\Pages\ListRestoranMenuKategorileri","200","521,51","520,67","522,34","522,34|520,67","162325","http://localhost/yalova-kamera/admin/restoran/qr-menu/kategoriler",
"8","personel-takip","admin/personel-takip/avanslar","filament.admin.personel-takip.resources.avanslar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelAvansKaynagi\Pages\ListPersonelAvanslari","200","521,19","515,06","527,32","527,32|515,06","159956","http://localhost/yalova-kamera/admin/personel-takip/avanslar",
"9","personel-takip","admin/personel-takip/personeller","filament.admin.personel-takip.resources.personeller.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\ListPersoneller","200","520,85","510,18","531,52","531,52|510,18","159540","http://localhost/yalova-kamera/admin/personel-takip/personeller",
"10","restoran","admin/restoran/tanimlar/salonlar","filament.admin.restoran.resources.tanimlar.salonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranSalonKaynagi\Pages\ListRestoranSalonlari","200","518,9","496,85","540,95","540,95|496,85","165857","http://localhost/yalova-kamera/admin/restoran/tanimlar/salonlar",
"11","restoran","admin/restoran/qr-menu/receteler","filament.admin.restoran.resources.qr-menu.receteler.index","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\ListRestoranReceteleri","200","518,71","514,89","522,52","522,52|514,89","162370","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler",
"12","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","517,35","509,4","525,31","525,31|509,4","179764","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"13","personel-takip","admin/personel-takip/tanimlar/departmanlar","filament.admin.personel-takip.resources.tanimlar.departmanlar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\ListPersonelDepartmanlari","200","517,2","509,69","524,71","524,71|509,69","158344","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar",
"14","muhasebe","admin/muhasebe/tanimlar/birimler","filament.admin.muhasebe.resources.tanimlar.birimler.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\BirimTanimKaynagi\Pages\ListBirimler","200","517,08","504,78","529,38","504,78|529,38","160723","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/birimler",
"15","restoran","admin/restoran/qr-menu/receteler/create","filament.admin.restoran.resources.qr-menu.receteler.create","App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\CreateRestoranRecete","200","516,85","510,56","523,13","523,13|510,56","178095","http://localhost/yalova-kamera/admin/restoran/qr-menu/receteler/create",
"16","restoran","admin/restoran/adisyonlar/create","filament.admin.restoran.resources.adisyonlar.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\CreateRestoranAdisyon","200","514,16","497,42","530,91","530,91|497,42","196901","http://localhost/yalova-kamera/admin/restoran/adisyonlar/create",
"17","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","512,63","499,04","526,22","526,22|499,04","178344","http://localhost/yalova-kamera/admin/sistem-firmalar",
"18","personel-takip","admin/personel-takip/maas-donemleri","filament.admin.personel-takip.resources.maas-donemleri.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelMaasDonemiKaynagi\Pages\ListPersonelMaasDonemleri","200","511,93","502,76","521,1","502,76|521,1","160024","http://localhost/yalova-kamera/admin/personel-takip/maas-donemleri",
"19","e-ticaret","admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari","filament.admin.e-ticaret.pages.mesaj-yonetimi.musteri-mesajlari","App\Filament\Clusters\ETicaret\Pages\MusteriMesajlariSayfasi","200","511,79","477,47","546,11","546,11|477,47","131610","http://localhost/yalova-kamera/admin/e-ticaret/mesaj-yonetimi/musteri-mesajlari",
"20","sistem-denetim-kayitlari","admin/sistem-denetim-kayitlari","filament.admin.resources.sistem-denetim-kayitlari.index","App\Filament\Resources\DenetimKayidiKaynagi\Pages\DenetimKayitlariListesi","200","502,86","494,46","511,26","511,26|494,46","184887","http://localhost/yalova-kamera/admin/sistem-denetim-kayitlari",
"21","personel-takip","admin/personel-takip/izinler","filament.admin.personel-takip.resources.izinler.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelIzinKaynagi\Pages\ListPersonelIzinleri","200","501,69","495,01","508,36","495,01|508,36","159088","http://localhost/yalova-kamera/admin/personel-takip/izinler",
"22","e-ticaret","admin/e-ticaret/kargo-yonetimi","filament.admin.e-ticaret.pages.kargo-yonetimi","App\Filament\Clusters\ETicaret\Pages\KargoYonetimiSayfasi","200","501,58","482,99","520,17","520,17|482,99","147473","http://localhost/yalova-kamera/admin/e-ticaret/kargo-yonetimi",
"23","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","500,96","456,29","545,63","456,29|545,63","241512","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"24","personel-takip","admin/personel-takip/vardiyalar","filament.admin.personel-takip.resources.vardiyalar.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaKaynagi\Pages\ListPersonelVardiyalari","200","499,25","485,45","513,04","513,04|485,45","162355","http://localhost/yalova-kamera/admin/personel-takip/vardiyalar",
"25","product-categories","admin/product-categories","filament.admin.resources.product-categories.index","App\Filament\Resources\ProductCategoryResource\Pages\ListProductCategories","200","498,87","491,12","506,61","506,61|491,12","165230","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri",
"26","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","498,23","488,29","508,17","508,17|488,29","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"27","restoran","admin/restoran/adisyonlar","filament.admin.restoran.resources.adisyonlar.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKaynagi\Pages\ListRestoranAdisyonlari","200","497,11","496,06","498,16","496,06|498,16","162048","http://localhost/yalova-kamera/admin/restoran/adisyonlar",
"28","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","496,65","481,7","511,59","511,59|481,7","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"29","sistem-kullanicilar","admin/sistem-kullanicilar","filament.admin.resources.sistem-kullanicilar.index","App\Filament\Resources\UserResource\Pages\ListUsers","200","496,58","489,24","503,91","503,91|489,24","159134","http://localhost/yalova-kamera/admin/sistem-kullanicilar",
"30","muhasebe","admin/muhasebe/satis/barkod-esleme-listesi","filament.admin.muhasebe.pages.satis.barkod-esleme-listesi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisBarkodListesiSayfasi","200","495,32","485,5","505,13","485,5|505,13","151675","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-esleme-listesi",
"31","personel-takip","admin/personel-takip/giris-cikis","filament.admin.personel-takip.resources.giris-cikis.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelGirisCikisKaynagi\Pages\ListPersonelGirisCikislari","200","494,5","493,93","495,07","495,07|493,93","158656","http://localhost/yalova-kamera/admin/personel-takip/giris-cikis",
"32","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","493,66","489,21","498,11","498,11|489,21","154587","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"33","restoran","admin/restoran/adisyon-kalemleri/create","filament.admin.restoran.resources.adisyon-kalemleri.create","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\CreateRestoranAdisyonKalemi","200","492,73","482,89","502,58","502,58|482,89","167138","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri/create",
"34","teknik-servis","admin/teknik-servis/servis-kayitlari","filament.admin.teknik-servis.resources.servis-kayitlari.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ListTeknikServisKayitlari","200","491,64","486,61","496,67","486,61|496,67","145871","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari",
"35","sistem-yetkiler","admin/sistem-yetkiler","filament.admin.resources.sistem-yetkiler.index","App\Filament\Resources\YetkiYonetimKaynagi\Pages\YetkiListesi","200","489,44","479,62","499,26","499,26|479,62","149538","http://localhost/yalova-kamera/admin/sistem-yetkiler",
"36","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","488,63","485,7","491,57","491,57|485,7","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"37","restoran","admin/restoran/masalar/create","filament.admin.restoran.resources.masalar.create","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\CreateRestoranMasa","200","485,92","474,91","496,92","496,92|474,91","160786","http://localhost/yalova-kamera/admin/restoran/masalar/create",
"38","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\ListTeknikServisAksesuarlari","200","484,63","468,45","500,82","500,82|468,45","141992","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar",
"39","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","482,41","460,52","504,3","504,3|460,52","174926","http://localhost/yalova-kamera/admin/profil",
