"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","1827,05","103,37","5262,65","5262,65|115,12|103,37","154587","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"2","muhasebe","admin/muhasebe/satis/barkodlu-satis","filament.admin.muhasebe.pages.satis.barkodlu-satis","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisSayfasi","200","733,83","136,89","1925,43","1925,43|136,89|139,18","220573","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis",
"3","restoran","admin/restoran/adisyon-kalemleri","filament.admin.restoran.resources.adisyon-kalemleri.index","App\Filament\Clusters\Restoran\Resources\RestoranAdisyonKalemiKaynagi\Pages\ListRestoranAdisyonKalemleri","200","654,74","111,27","1736,61","1736,61|116,34|111,27","156830","http://localhost/yalova-kamera/admin/restoran/adisyon-kalemleri",
"4","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","565,64","108,72","1395,12","1395,12|193,06|108,72","153019","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"5","muhasebe","admin/muhasebe/finans/vade-takibi","filament.admin.muhasebe.pages.finans.vade-takibi","App\Filament\Clusters\Muhasebe\Pages\VadeTakipSayfasi","200","514,46","157,9","1209,6","1209,6|175,87|157,9","261977","http://localhost/yalova-kamera/admin/muhasebe/finans/vade-takibi",
"6","muhasebe","admin/muhasebe/satis/barkod-etiket-yazdirma","filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma","App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi","200","511,41","110,08","1294,02","1294,02|110,08|130,12","187397","http://localhost/yalova-kamera/admin/muhasebe/satis/barkod-etiket-yazdirma",
"7","muhasebe","admin/muhasebe/satis/hizli-satis","filament.admin.muhasebe.pages.satis.hizli-satis","App\Filament\Clusters\Muhasebe\Pages\HizliSatisSayfasi","200","500,76","87,02","1244,83","1244,83|170,44|87,02","130035","http://localhost/yalova-kamera/admin/muhasebe/satis/hizli-satis",
"8","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","380,91","122,24","809,49","809,49|211|122,24","174926","http://localhost/yalova-kamera/admin/profil",
"9","ayarlar","admin/ayarlar/mesaj-merkezi","filament.admin.ayarlar.pages.mesaj-merkezi","App\Filament\Clusters\Ayarlar\Pages\MesajMerkeziSayfasi","200","359,46","73,59","844,41","844,41|160,38|73,59","117696","http://localhost/yalova-kamera/admin/ayarlar/mesaj-merkezi",
"10","e-ticaret","admin/e-ticaret/bildirim-yonetimi/sablonlar","filament.admin.e-ticaret.pages.bildirim-yonetimi.sablonlar","App\Filament\Clusters\ETicaret\Pages\BildirimSablonlariSayfasi","200","351,12","103,86","840,41","840,41|109,09|103,86","137361","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/sablonlar",
