"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","627,4","608","646,8","608|646,8","337079","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","personel-takip","admin/personel-takip/personeller/1/edit","admin/personel-takip/personeller/{record}/edit","filament.admin.personel-takip.resources.personeller.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelKaynagi\Pages\EditPersonel","App\Models\Personel\Personel","1","200","570,76","558,29","583,23","583,23|558,29","222831","http://localhost/yalova-kamera/admin/personel-takip/personeller/1/edit",
"3","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","567,36","544,89","589,82","544,89|589,82","253206","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"4","muhasebe","admin/muhasebe/stok/stok-listesi/1","admin/muhasebe/stok/stok-listesi/{record}","filament.admin.muhasebe.resources.stok.stok-listesi.view","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\ViewStokKarti","App\Models\Muhasebe\StokKarti","1","200","543,03","515,57","570,5","515,57|570,5","248082","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1",
"5","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","533,74","533,41","534,08","533,41|534,08","297607","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"6","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","511,57","490,3","532,84","532,84|490,3","165132","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"7","muhasebe","admin/muhasebe/fatura-kaynagis/1","admin/muhasebe/fatura-kaynagis/{record}","filament.admin.muhasebe.resources.fatura-kaynagis.view","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ViewFatura","App\Models\Muhasebe\Fatura","1","200","465,64","454,69","476,58","476,58|454,69","228840","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1",
"8","muhasebe","admin/muhasebe/finans/poslar/1/edit","admin/muhasebe/finans/poslar/{record}/edit","filament.admin.muhasebe.resources.finans.poslar.edit","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\EditPosHesabi","App\Models\Muhasebe\PosHesabi","1","200","456,41","453,08","459,74","459,74|453,08","220933","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/1/edit",
"9","personel-takip","admin/personel-takip/tanimlar/departmanlar/1/edit","admin/personel-takip/tanimlar/departmanlar/{record}/edit","filament.admin.personel-takip.resources.tanimlar.departmanlar.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\EditPersonelDepartman","App\Models\Personel\PersonelDepartmani","1","200","451,64","439,42","463,85","463,85|439,42","145821","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar/1/edit",
"10","teknik-servis","admin/teknik-servis/servis-kayitlari/1","admin/teknik-servis/servis-kayitlari/{record}","filament.admin.teknik-servis.resources.servis-kayitlari.view","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiGoruntule","App\Models\TeknikServis\TeknikServisKaydi","1","200","449,36","439,87","458,84","458,84|439,87","205232","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1",
