"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/stok/stok-listesi/create","filament.admin.muhasebe.resources.stok.stok-listesi.create","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\CreateStokKarti","200","1868,01","1723,56","2084,79","1795,69|2084,79|1723,56","241802","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/create",
"2","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","1852,29","1802,92","1947,7","1806,25|1947,7|1802,92","174926","http://localhost/yalova-kamera/admin/profil",
"3","e-ticaret","admin/e-ticaret/bildirim-yonetimi/loglar","filament.admin.e-ticaret.pages.bildirim-yonetimi.loglar","App\Filament\Clusters\ETicaret\Pages\BildirimLoglariSayfasi","200","1818,38","1711,32","2009,94","1733,87|2009,94|1711,32","155614","http://localhost/yalova-kamera/admin/e-ticaret/bildirim-yonetimi/loglar",
"4","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","1740,6","1616,3","1910,09","1695,41|1910,09|1616,3","124946","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"5","muhasebe","admin/muhasebe/cari","filament.admin.muhasebe.pages.cari","App\Filament\Clusters\Muhasebe\Pages\Cari","200","1719,84","1599,69","1908,56","1599,69|1908,56|1651,27","113262","http://localhost/yalova-kamera/admin/muhasebe/cari",
"6","personel-takip","admin/personel-takip/raporlar/personel-ozeti","filament.admin.personel-takip.pages.raporlar.personel-ozeti","App\Filament\Clusters\PersonelTakip\Pages\PersonelRaporlariSayfasi","200","1717,09","1612,88","1914,28","1612,88|1914,28|1624,1","130841","http://localhost/yalova-kamera/admin/personel-takip/raporlar/personel-ozeti",
