"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"1","muhasebe","admin/muhasebe/fatura-kaynagis/1/edit","admin/muhasebe/fatura-kaynagis/{record}/edit","filament.admin.muhasebe.resources.fatura-kaynagis.edit","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\EditFatura","App\Models\Muhasebe\Fatura","1","200","2045,8","1912,53","2158,34","1912,53|2158,34|2066,54","347796","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/1/edit",
"2","teknik-servis","admin/teknik-servis/servis-kayitlari/1/duzenle","admin/teknik-servis/servis-kayitlari/{record}/duzenle","filament.admin.teknik-servis.resources.servis-kayitlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKaydiDuzenle","App\Models\TeknikServis\TeknikServisKaydi","1","200","2044,04","1919,36","2218,79","1919,36|2218,79|1993,98","437563","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/1/duzenle",
"3","muhasebe","admin/muhasebe/stok/stok-listesi/1/edit","admin/muhasebe/stok/stok-listesi/{record}/edit","filament.admin.muhasebe.resources.stok.stok-listesi.edit","App\Filament\Clusters\Muhasebe\Resources\StokKartiKaynagi\Pages\EditStokKarti","App\Models\Muhasebe\StokKarti","1","200","2034,65","1819,08","2163,47","2121,39|2163,47|1819,08","316886","http://localhost/yalova-kamera/admin/muhasebe/stok/stok-listesi/1/edit",
"4","muhasebe","admin/muhasebe/cari-yonetimi/cariler/1","admin/muhasebe/cari-yonetimi/cariler/{record}","filament.admin.muhasebe.resources.cari-yonetimi.cariler.view","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ViewCari","App\Models\Muhasebe\Cari","1","200","1920,44","1769,85","2143,24","1848,22|2143,24|1769,85","276420","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/1",
"5","firma-ici-kullanicilar","admin/firma-ici-kullanicilar/1/edit","admin/firma-ici-kullanicilar/{record}/edit","filament.admin.resources.firma-ici-kullanicilar.edit","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciDuzenle","App\Models\FirmaKullanici","1","200","1729,79","1697,66","1751,47","1751,47|1740,25|1697,66","165132","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar/1/edit",
"6","teklif-yonetimi","admin/teklif-yonetimi/sablonlar/1/edit","admin/teklif-yonetimi/sablonlar/{record}/edit","filament.admin.teklif-yonetimi.resources.sablonlar.edit","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\EditTeklifSablonu","App\Models\TeklifYonetimi\TeklifBaskiSablonu","1","200","1698,1","1686,61","1704,52","1703,17|1704,52|1686,61","184496","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar/1/edit",
